Number of genes	1296
Number of genes in orthogroups	1164
Number of unassigned genes	132
Percentage of genes in orthogroups	89.8
Percentage of unassigned genes	10.2
Number of orthogroups	110
Number of species-specific orthogroups	2
Number of genes in species-specific orthogroups	25
Percentage of genes in species-specific orthogroups	1.9
Mean orthogroup size	10.6
Median orthogroup size	9.0
G50 (assigned genes)	12
G50 (all genes)	12
O50 (assigned genes)	33
O50 (all genes)	38
Number of orthogroups with all species present	20
Number of single-copy orthogroups	0
Date	2023-03-08
Orthogroups file	Orthogroups.csv
Unassigned genes file	Orthogroups_UnassignedGenes.csv
Per-species statistics	Statistics_PerSpecies.csv
Overall statistics	Statistics_Overall.csv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.csv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	37	33.6	182	15.6
'1	59	53.6	651	55.9
'2	9	8.2	159	13.7
'3	2	1.8	58	5.0
'4	2	1.8	69	5.9
'5	1	0.9	45	3.9
'6	0	0.0	0	0.0
'7	0	0.0	0	0.0
'8	0	0.0	0	0.0
'9	0	0.0	0	0.0
'10	0	0.0	0	0.0
11-15	0	0.0	0	0.0
16-20	0	0.0	0	0.0
21-50	0	0.0	0	0.0
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	2
2	12
3	12
4	3
5	16
6	24
7	21
8	20
