Orthogroup	homeo_lgig	homeo_pele
OG0000000	V4B1Z7_LOTGI	Pele_DN158131_c1_g1_i1.p1^
OG0000001	V4BBQ6_LOTGI	Pele_DN156383_c1_g1_i10.p1^, Pele_DN134842_c0_g2_i2.p1^
OG0000002	V3ZPC7_LOTGI, V3ZF17_LOTGI, V3ZPD1_LOTGI, V3YXA5_LOTGI	Pele_DN131147_c0_g1_i5.p1^
OG0000003	A0A0B6VNG5_LOTGI, V4AMZ8_LOTGI	Pele_DN141821_c0_g1_i1.p1^
OG0000003	V3ZQV3_LOTGI	Pele_DN146984_c1_g2_i4.p1^
OG0000004	V3ZUB0_LOTGI	Pele_DN149662_c3_g3_i1.p1^
OG0000006	V4AF73_LOTGI	Pele_DN144533_c0_g2_i7.p1^
OG0000007	V4AG11_LOTGI	Pele_DN145787_c0_g1_i7.p1^
OG0000007	V4CL38_LOTGI	Pele_DN164572_c3_g2_i2.p1^
OG0000008	A0A0B6VH88_LOTGI, V4A346_LOTGI	Pele_DN134776_c0_g1_i1.p1^, Pele_DN126275_c0_g1_i2.p1^, Pele_DN102397_c0_g1_i1.p1^
OG0000009	V3ZL81_LOTGI	Pele_DN143640_c0_g2_i1.p1^, Pele_DN158688_c0_g2_i1.p1^
OG0000010	V4BUI5_LOTGI	Pele_DN134626_c0_g2_i1.p1^
OG0000011	V4BYW7_LOTGI	Pele_DN161083_c3_g4_i2.p1^
OG0000012	V3ZYQ4_LOTGI, V4A376_LOTGI	Pele_DN160581_c0_g1_i5.p1^
OG0000013	V4BAL1_LOTGI, V4AZ19_LOTGI	Pele_DN155309_c0_g1_i4.p1^
OG0000014	V3ZFW3_LOTGI	Pele_DN159040_c0_g1_i2.p1^
OG0000015	V4CK27_LOTGI, V4AEW6_LOTGI, V4AYB9_LOTGI	Pele_DN144512_c2_g1_i7.p1^
OG0000016	V4CQS4_LOTGI	Pele_DN143372_c0_g1_i3.p1^
OG0000017	V4CL34_LOTGI	Pele_DN149768_c2_g3_i1.p1^
OG0000019	V4B0Q5_LOTGI	Pele_DN165661_c1_g4_i3.p1^
OG0000022	V4BA79_LOTGI, A0A0B6VH93_LOTGI	Pele_DN135596_c3_g1_i5.p1^
OG0000023	V4BHE9_LOTGI	Pele_DN155499_c1_g2_i7.p1^
OG0000024	V4BAL6_LOTGI	Pele_DN143168_c0_g1_i1.p1^
OG0000025	V4AG18_LOTGI	Pele_DN163341_c0_g7_i2.p1^
OG0000026	V4A848_LOTGI	Pele_DN156972_c3_g1_i1.p1^
OG0000027	V4BFH7_LOTGI	Pele_DN134969_c3_g2_i5.p1^
OG0000031	A0A0B6VI83_LOTGI, V3ZSX3_LOTGI	Pele_DN161508_c2_g1_i2.p1^
OG0000032	B6SD85_LOTGI, V3Z534_LOTGI, A0A0B6VJK7_LOTGI	Pele_DN139229_c3_g1_i1.p1^
OG0000034	V4ACI6_LOTGI	Pele_DN156788_c0_g1_i2.p1^
OG0000036	V4CHA2_LOTGI, A0A0B6VI79_LOTGI	Pele_DN122504_c0_g1_i1.p1^
OG0000037	V4AJI3_LOTGI	Pele_DN161761_c0_g3_i2.p1^
OG0000038	V4BLD9_LOTGI	Pele_DN130740_c0_g1_i8.p1^
OG0000042	V4A7Q4_LOTGI	Pele_DN144074_c0_g1_i7.p1^
OG0000045	V4B4D7_LOTGI, V3ZLP8_LOTGI	Pele_DN142207_c2_g1_i18.p1^
OG0000047	V4AG06_LOTGI	Pele_DN141396_c6_g3_i8.p1^
OG0000048	V4BYI6_LOTGI	Pele_DN155681_c5_g2_i1.p1^
OG0000049	V3Z6R3_LOTGI	Pele_DN160834_c0_g1_i5.p1^
OG0000050	V3ZSK0_LOTGI	Pele_DN153336_c2_g2_i3.p1^
OG0000051	V4B5G4_LOTGI	Pele_DN158505_c0_g1_i1.p1^
OG0000052	V3ZL15_LOTGI	Pele_DN150624_c0_g4_i3.p1^
OG0000053	V4C5P1_LOTGI	Pele_DN154574_c0_g1_i7.p1^
OG0000058	V4AZ98_LOTGI, V4AG74_LOTGI	Pele_DN153039_c2_g3_i4.p1^
OG0000065	V4ALC7_LOTGI	Pele_DN152935_c0_g4_i2.p1^
OG0000073	V3ZY21_LOTGI	Pele_DN163481_c0_g2_i5.p1^
OG0000074	V4CJP9_LOTGI	Pele_DN145271_c1_g2_i2.p1^
OG0000075	V4A086_LOTGI	Pele_DN136173_c0_g1_i1.p1^
OG0000079	V4C954_LOTGI	Pele_DN133460_c1_g1_i12.p1^
OG0000080	V4A4Z2_LOTGI	Pele_DN150856_c1_g1_i10.p1^
OG0000081	V4B459_LOTGI	Pele_DN151192_c1_g2_i4.p1^, Pele_DN103616_c0_g1_i1.p1^
OG0000093	V4B058_LOTGI	Pele_DN150887_c0_g2_i2.p1^
OG0000094	V4ART4_LOTGI	Pele_DN139785_c3_g2_i4.p1^
