Orthogroup	homeo_pele	homeo_ctel
OG0000000	Pele_DN158131_c1_g1_i1.p1^	R7VJE5_CAPTE
OG0000001	Pele_DN156383_c1_g1_i10.p1^, Pele_DN134842_c0_g2_i2.p1^	R7T8B4_CAPTE
OG0000002	Pele_DN131147_c0_g1_i5.p1^	R7UAD2_CAPTE, R7U8T2_CAPTE, R7UAD6_CAPTE
OG0000003	Pele_DN141821_c0_g1_i1.p1^	R7TKD0_CAPTE, A1XC54_CAPTE
OG0000003	Pele_DN146984_c1_g2_i4.p1^	R7UF19_CAPTE
OG0000004	Pele_DN149662_c3_g3_i1.p1^	F9W2V7_CAPTE
OG0000006	Pele_DN144533_c0_g2_i7.p1^	R7TSQ2_CAPTE
OG0000006	Pele_DN148207_c5_g3_i3.p1^	R7UQU2_CAPTE
OG0000007	Pele_DN145787_c0_g1_i7.p1^	R7TDU7_CAPTE, B6RFX9_CAPTE
OG0000007	Pele_DN164572_c3_g2_i2.p1^	B6RFY0_CAPTE
OG0000008	Pele_DN134776_c0_g1_i1.p1^, Pele_DN126275_c0_g1_i2.p1^, Pele_DN102397_c0_g1_i1.p1^	R7VB52_CAPTE
OG0000009	Pele_DN143640_c0_g2_i1.p1^, Pele_DN158688_c0_g2_i1.p1^	R7V8E6_CAPTE
OG0000010	Pele_DN134626_c0_g2_i1.p1^	R7TEF8_CAPTE
OG0000012	Pele_DN160581_c0_g1_i5.p1^	R7T5Y1_CAPTE
OG0000013	Pele_DN155309_c0_g1_i4.p1^	B6RFX8_CAPTE, R7TDR8_CAPTE, B6RFY3_CAPTE
OG0000014	Pele_DN159040_c0_g1_i2.p1^	R7ULV8_CAPTE, C4MK38_CAPTE, C4MK39_CAPTE, R7UKD7_CAPTE
OG0000015	Pele_DN144512_c2_g1_i7.p1^	R7T846_CAPTE, R7TFH5_CAPTE
OG0000016	Pele_DN143372_c0_g1_i3.p1^	R7UF46_CAPTE
OG0000017	Pele_DN149768_c2_g3_i1.p1^	R7TLA4_CAPTE, B6RFX6_CAPTE
OG0000022	Pele_DN135596_c3_g1_i5.p1^	R7TPZ8_CAPTE
OG0000023	Pele_DN155499_c1_g2_i7.p1^	R7VCA4_CAPTE
OG0000024	Pele_DN143168_c0_g1_i1.p1^	B6RFY1_CAPTE, R7UM68_CAPTE
OG0000025	Pele_DN163341_c0_g7_i2.p1^	R7UVI0_CAPTE, R7UP28_CAPTE
OG0000026	Pele_DN156972_c3_g1_i1.p1^	R7UC46_CAPTE
OG0000031	Pele_DN161508_c2_g1_i2.p1^	R7TFZ7_CAPTE
OG0000032	Pele_DN139229_c3_g1_i1.p1^	R7TUB2_CAPTE
OG0000034	Pele_DN156788_c0_g1_i2.p1^	C4MLF3_CAPTE, R7UCX5_CAPTE
OG0000036	Pele_DN122504_c0_g1_i1.p1^	R7UAG0_CAPTE, R7U2A3_CAPTE
OG0000037	Pele_DN161761_c0_g3_i2.p1^	R7UTJ6_CAPTE
OG0000038	Pele_DN130740_c0_g1_i8.p1^	R7TQQ6_CAPTE
OG0000042	Pele_DN144074_c0_g1_i7.p1^	R7TD58_CAPTE, C4MK42_CAPTE
OG0000045	Pele_DN142207_c2_g1_i18.p1^	R7TXI6_CAPTE, Q2FBJ0_CAPTE
OG0000047	Pele_DN141396_c6_g3_i8.p1^	R7TDU3_CAPTE, B6RFX5_CAPTE, R7TDR5_CAPTE
OG0000048	Pele_DN155681_c5_g2_i1.p1^	C4MK37_CAPTE, R7TY93_CAPTE
OG0000049	Pele_DN160834_c0_g1_i5.p1^	R7U019_CAPTE
OG0000050	Pele_DN153336_c2_g2_i3.p1^	Q2FBI9_CAPTE, R7U4M8_CAPTE, R7V8P0_CAPTE
OG0000051	Pele_DN158505_c0_g1_i1.p1^	R7UP51_CAPTE
OG0000052	Pele_DN150624_c0_g4_i3.p1^	R7TCH5_CAPTE, C4MLF2_CAPTE
OG0000053	Pele_DN154574_c0_g1_i7.p1^	C4MLF1_CAPTE, R7TTZ4_CAPTE
OG0000058	Pele_DN153039_c2_g3_i4.p1^	R7UC57_CAPTE
OG0000065	Pele_DN152935_c0_g4_i2.p1^	R7UAJ4_CAPTE
OG0000073	Pele_DN163481_c0_g2_i5.p1^	R7UK02_CAPTE
OG0000074	Pele_DN145271_c1_g2_i2.p1^	R7VJ71_CAPTE
OG0000075	Pele_DN136173_c0_g1_i1.p1^	R7TRL6_CAPTE
OG0000079	Pele_DN133460_c1_g1_i12.p1^	C4MLE9_CAPTE
OG0000080	Pele_DN150856_c1_g1_i10.p1^	R7V240_CAPTE
OG0000081	Pele_DN151192_c1_g2_i4.p1^, Pele_DN103616_c0_g1_i1.p1^	R7U7Y9_CAPTE
OG0000093	Pele_DN150887_c0_g2_i2.p1^	R7TGS1_CAPTE
OG0000094	Pele_DN139785_c3_g2_i4.p1^	R7UVH4_CAPTE
OG0000101	Pele_DN137043_c1_g1_i3.p1^	R7TT64_CAPTE
