Orthogroup	homeo_cgig	homeo_ofus
OG0000000	A0A8W8NKQ5_CRAGI, A0A8W8NC56_CRAGI	A0A8J1UID4_OWEFU
OG0000000	A0A8W8N755_CRAGI, K1QC82_CRAGI, A0A8W8N4P4_CRAGI	A0A8J1XVB3_OWEFU
OG0000000	A0A8W8LME9_CRAGI, K1PTP4_CRAGI	A0A8J1UPU6_OWEFU
OG0000000	A0A8W8LAX7_CRAGI	A0A8J1TH95_OWEFU
OG0000000	A0A8W8IPA2_CRAGI, K1Q3T5_CRAGI	A0A8J1UBP8_OWEFU, A0A8S4NIW6_OWEFU
OG0000001	A0A8W8KTU7_CRAGI, A0A8W8KWH7_CRAGI, A0A8W8KVY4_CRAGI, A0A8W8KZP0_CRAGI, A0A8W8KTZ2_CRAGI, A0A8W8KTY2_CRAGI, K1RRF9_CRAGI, A0A8W8KTT7_CRAGI, A0A8W8KWH2_CRAGI, A0A8W8KZM6_CRAGI, A0A8W8KTV3_CRAGI, A0A8W8KTZ7_CRAGI, A0A8W8KVZ3_CRAGI, A0A8W8KVY9_CRAGI, A0A8W8KWI1_CRAGI, A0A8W8KTU2_CRAGI, A0A8W8KZN5_CRAGI, A0A8W8KTY7_CRAGI, A0A8W8KZN0_CRAGI	A0A8S4NYJ5_OWEFU, A0A8S4P1R3_OWEFU, A0A8S4P2P7_OWEFU, A0A8J1XTI5_OWEFU, A0A8S4P221_OWEFU, A0A8J1XV20_OWEFU, A0A8S4P2I1_OWEFU
OG0000002	A0A8W8JY31_CRAGI, K1RIX6_CRAGI, A0A8W8K458_CRAGI, A0A8W8JYB7_CRAGI, K1RA01_CRAGI, K1QIR0_CRAGI, A0A8W8JTR1_CRAGI, A0A8W8JT33_CRAGI, A0A8W8JX80_CRAGI, K1Q4X5_CRAGI, A0A8W8KJ06_CRAGI	A0A8J1XR32_OWEFU
OG0000003	K1RJL2_CRAGI, A0A8W8JYI5_CRAGI, A0A8W8JW62_CRAGI	A0A2I6QBP6_OWEFU, A0A8S4N2Y9_OWEFU, A0A8S4N1Z8_OWEFU
OG0000003	A0A8W8NGD8_CRAGI, A0A8W8N7T4_CRAGI, K1QCD5_CRAGI, A0A8W8NKP9_CRAGI	A0A8S4NWV7_OWEFU, A0A8S4NW90_OWEFU, A0A8S4NTX5_OWEFU, A0A8S4NZG7_OWEFU, A0A8S4NVX6_OWEFU, A0A2I6QBP1_OWEFU
OG0000004	A0A8W8IAI7_CRAGI, A0A8W8IAW9_CRAGI, K1PJH4_CRAGI	A0A8J1ULN0_OWEFU
OG0000004	K1RZS7_CRAGI, A0A8W8I5K6_CRAGI, A0A8W8I4C7_CRAGI, A0A8W8I588_CRAGI	A0A8S4PHK6_OWEFU, A0A8J1UN28_OWEFU
OG0000004	K1QUB8_CRAGI	A0A8J1U7D2_OWEFU, A0A165US65_OWEFU
OG0000006	K1QSB6_CRAGI, A0A8W8IBN2_CRAGI, K1PKC2_CRAGI	A0A8J1U651_OWEFU
OG0000006	K1Q1J3_CRAGI, A0A8W8L446_CRAGI	A0A8J1TZU4_OWEFU
OG0000007	A0A8W8MTX2_CRAGI, A0A8W8N115_CRAGI, A0A8W8N1M3_CRAGI, K1QW78_CRAGI	A0A8S4MXX6_OWEFU
OG0000007	K1RXD0_CRAGI	A0A8J1Y090_OWEFU
OG0000008	A0A8W8ID58_CRAGI, A0A8W8IDF2_CRAGI, K1R2U9_CRAGI, A0A8W8IBL0_CRAGI, A0A8W8ID51_CRAGI	A0A8S4Q800_OWEFU, A0A165USE9_OWEFU, A0A8J1XWV6_OWEFU
OG0000009	K1S2R0_CRAGI, A0A8W8IMV1_CRAGI, A0A8W8IM65_CRAGI, A0A8W8INQ7_CRAGI, K1QXJ5_CRAGI	A0A8J1T4P3_OWEFU, A0A8J1T4X5_OWEFU
OG0000010	A0A8W8L0Q8_CRAGI, K1QGS5_CRAGI	A0A8J1U072_OWEFU
OG0000010	K1R2K0_CRAGI, A0A8W8KX13_CRAGI	A0A8J1TY94_OWEFU
OG0000011	K1PAC6_CRAGI, A0A8W8NHM8_CRAGI, A0A8W8NPX1_CRAGI	A0A165US84_OWEFU
OG0000012	A0A8W8N8Z0_CRAGI, K1PNG1_CRAGI, K1PW38_CRAGI	A0A8J1TNT9_OWEFU, A0A8S4N3Y9_OWEFU
OG0000013	A0A8W8N110_CRAGI, A0A8W8N1L7_CRAGI, K1RHX0_CRAGI, A0A8W8N1L2_CRAGI	A0A8J1UD53_OWEFU
OG0000014	K1QCU1_CRAGI, A0A8W8I780_CRAGI, A0A8W8I5P7_CRAGI	A0A8J1XXX6_OWEFU, A0A2I6QBN3_OWEFU, A0A8J1XW66_OWEFU, A0A8J1U7M4_OWEFU
OG0000015	A0A8W8IY98_CRAGI, K1QPR6_CRAGI, A0A8W8J181_CRAGI, A0A8W8IZU2_CRAGI, A0A8W8J275_CRAGI	A0A8J1XFN8_OWEFU, A0A2I6QBP3_OWEFU, A0A2I6QBN9_OWEFU
OG0000016	A0A8W8LHX8_CRAGI, K1RE41_CRAGI, A0A8W8LGC0_CRAGI, A0A8W8LMC2_CRAGI	A0A8J1UHP7_OWEFU, A0A8J1UEH4_OWEFU
OG0000017	A0A8W8MTV1_CRAGI, A0A8W8MYP5_CRAGI, A0A8W8N1I9_CRAGI, K1QFQ3_CRAGI, A0A8W8N4T0_CRAGI, A0A8W8MYP1_CRAGI, A0A8W8N4S5_CRAGI, A0A8W8N4T5_CRAGI	A0A8J1U832_OWEFU
OG0000020	K1QLY6_CRAGI, A0A8W8IV11_CRAGI, A0A8W8ITK7_CRAGI, A0A8W8IVV5_CRAGI, A0A8W8ITN2_CRAGI, A0A8W8IX86_CRAGI	A0A8J1T614_OWEFU
OG0000021	A0A8W8KZY7_CRAGI, K1PZT1_CRAGI, A0A8W8KUA3_CRAGI, A0A8W8KU68_CRAGI	A0A8S4P241_OWEFU, A0A8J1XWF8_OWEFU
OG0000022	K1R6C9_CRAGI, A0A8W8LDK7_CRAGI, K1R014_CRAGI, A0A8W8LJK1_CRAGI, A0A8W8LF54_CRAGI	A0A8J1TZ61_OWEFU
OG0000023	K1RMV0_CRAGI, A0A8W8MC14_CRAGI	A0A8J1Y3W8_OWEFU, A0A8J1UKC6_OWEFU, A0A8J1UHF5_OWEFU, A0A8S4P263_OWEFU, A0A8J1UG53_OWEFU
OG0000024	A0A8W8MYT7_CRAGI, A0A8W8N1P2_CRAGI, K1PZI6_CRAGI	A0A8J1UDK6_OWEFU, A0A8J1UDF1_OWEFU, A0A8S4MYZ0_OWEFU, A0A8J1U9I4_OWEFU
OG0000025	A0A8W8NBC0_CRAGI, A0A8W8NE43_CRAGI, A0A8W8NIK3_CRAGI, A0A8W8NEB1_CRAGI, K1PYG5_CRAGI	A0A8J1XR59_OWEFU
OG0000026	A0A8W8L5Z7_CRAGI, A0A8W8L9G2_CRAGI, K1R684_CRAGI, A0A8W8L5E0_CRAGI, A0A8W8L493_CRAGI, A0A8W8L9F6_CRAGI, A0A8W8L3M1_CRAGI	A0A8J1UI38_OWEFU
OG0000027	A0A8W8N5P0_CRAGI	A0A8J1XPB1_OWEFU, A0A8J1XMG3_OWEFU, A0A8S4MZR0_OWEFU, A0A8S4N056_OWEFU, A0A8S4N103_OWEFU, A0A8J1XPS3_OWEFU, A0A8S4N1A7_OWEFU
OG0000030	K1QXI0_CRAGI, A0A8W8KA18_CRAGI	A0A8J1TIQ6_OWEFU, A0A8S4Q4Y5_OWEFU
OG0000031	A0A8W8HLC1_CRAGI	A0A8J1TXC5_OWEFU, A0A8J1XUY2_OWEFU, A0A8J1TVW9_OWEFU
OG0000032	K1PV30_CRAGI, A0A8W8I6I3_CRAGI	A0A8J1UPA1_OWEFU, A0A166GC00_OWEFU, A0A8J1UL28_OWEFU
OG0000033	K1QM31_CRAGI, A0A8W8IS98_CRAGI, A0A8W8IS94_CRAGI	A0A8J1T993_OWEFU, A0A8S4NPX3_OWEFU
OG0000034	K1PJ20_CRAGI, A0A8W8J227_CRAGI, A0A8W8IYA2_CRAGI	A0A8J1T830_OWEFU, A0A8J1T7B9_OWEFU
OG0000035	K1RII0_CRAGI, A0A8W8K4L4_CRAGI, K1RU62_CRAGI, A0A8W8LA92_CRAGI	A0A8S4P1L7_OWEFU, A0A8J1XVI0_OWEFU
OG0000037	A0A8W8KL69_CRAGI, A0A8W8KM51_CRAGI, K1PV68_CRAGI	A0A8S4PRS0_OWEFU, A0A8J1TZ22_OWEFU
OG0000038	A0A8W8KQE1_CRAGI, A0A8W8KN59_CRAGI, A0A8W8KQD6_CRAGI, A0A8W8KN12_CRAGI, A0A8W8KN17_CRAGI, K1QAT6_CRAGI	A0A8J1TIC1_OWEFU
OG0000040	A0A8W8HPX3_CRAGI, A0A8W8HQ61_CRAGI, K1P7N7_CRAGI, K1R5Y2_CRAGI	A0A8J1U2Q5_OWEFU, A0A165USH4_OWEFU
OG0000041	A0A8W8ICU4_CRAGI, A0A8W8IBC2_CRAGI, A0A8W8IBB7_CRAGI, K1QVP2_CRAGI, A0A8W8IBB5_CRAGI, A0A8W8ICT9_CRAGI	A0A8J1TUD3_OWEFU
OG0000042	A0A8W8IG58_CRAGI, K1RAP6_CRAGI	A0A8J1XEH4_OWEFU
OG0000043	K1QV62_CRAGI, A0A8W8JWV0_CRAGI	A0A8J1Y7V5_OWEFU
OG0000044	A0A8W8K987_CRAGI, A0A8W8K5L3_CRAGI, A0A8W8K5F1_CRAGI, K1QCX7_CRAGI	A0A8S4PLQ3_OWEFU, A0A8J1UNW8_OWEFU
OG0000045	K1QXA8_CRAGI, A0A8W8KX35_CRAGI	A0A8J1XM42_OWEFU, A0A165USC6_OWEFU
OG0000046	A0A8W8N1H0_CRAGI, A0A8W8MTT5_CRAGI, A0A8W8N4R1_CRAGI, K1QFQ0_CRAGI, A0A8W8MYN2_CRAGI	A0A8J1U8H8_OWEFU
OG0000047	A0A8W8MYN7_CRAGI, K1QNR4_CRAGI	A0A8J1U9N6_OWEFU
OG0000048	K1R0H9_CRAGI, A0A8W8HU29_CRAGI, A0A8W8HTU2_CRAGI	A0A165US97_OWEFU
OG0000049	K1R770_CRAGI, A0A8W8IXU5_CRAGI	A0A8J1XHJ6_OWEFU, A0A8S4NSB6_OWEFU
OG0000050	A0A8W8L5S3_CRAGI, A0A8W8L1U9_CRAGI	A0A8J1TJB3_OWEFU
OG0000051	A0A8W8N621_CRAGI, A0A8W8MXX7_CRAGI, K1QDG5_CRAGI	A0A8J1XQF8_OWEFU, A0A8S4N0G9_OWEFU
OG0000052	A0A8W8IPJ6_CRAGI, K1PPR5_CRAGI	A0A8J1T5Z3_OWEFU
OG0000053	K1R041_CRAGI, A0A8W8IW65_CRAGI	A0A8J1XFX1_OWEFU
OG0000054	A0A8W8K796_CRAGI, K1QIJ6_CRAGI, A0A8W8K4K0_CRAGI, A0A8W8KAS8_CRAGI	A0A8J1TND9_OWEFU
OG0000056	K1QEU8_CRAGI, A0A8W8MTZ3_CRAGI, A0A8W8MTY9_CRAGI	A0A8S4N570_OWEFU, A0A8J1TQI2_OWEFU
OG0000057	A0A8W8MW41_CRAGI, K1PP90_CRAGI	A0A8J1UAP0_OWEFU
OG0000058	A0A8W8N9G9_CRAGI, K1Q1H4_CRAGI	A0A8J1UWG1_OWEFU
OG0000059	A0A8W8NAJ6_CRAGI, K1RC49_CRAGI	A0A8J1XPH2_OWEFU, A0A2I6EEG1_OWEFU, A0A8S4N1Q5_OWEFU
OG0000060	K1QS55_CRAGI	A0A8J1XFR7_OWEFU
OG0000061	K1QXF3_CRAGI	A0A8S4PTX5_OWEFU, A0A8J1TXI9_OWEFU
OG0000062	K1P5F1_CRAGI, A0A8W8I834_CRAGI	A0A8J1Y520_OWEFU
OG0000063	K1PGT0_CRAGI, A0A8W8HTT0_CRAGI	A0A8S4PD62_OWEFU, A0A8J1UM84_OWEFU
OG0000064	K1Q8M9_CRAGI, A0A8W8IBX2_CRAGI, A0A8W8IBQ2_CRAGI	A0A8J1TVS4_OWEFU
OG0000065	A0A8W8IQU2_CRAGI, A0A8W8IPI1_CRAGI, K1R7X3_CRAGI	A0A8J1Y2F5_OWEFU, A0A8S4NKP5_OWEFU
OG0000066	A0A8W8L000_CRAGI, K1PVZ4_CRAGI	A0A8J1TJ83_OWEFU
OG0000067	K1QUT3_CRAGI, A0A8W8MTT0_CRAGI	A0A8J1Y1U3_OWEFU
OG0000068	A0A8W8N0Z8_CRAGI, A0A8W8N1K7_CRAGI, K1QNR8_CRAGI	A0A8J1UAL6_OWEFU
OG0000069	A0A8W8N8W3_CRAGI, K1PW35_CRAGI	A0A8J1U9G2_OWEFU
OG0000070	A0A8W8NM07_CRAGI, K1Q0E3_CRAGI	A0A8S4P1Z9_OWEFU, A0A8J1TXW6_OWEFU
OG0000071	K1RYX0_CRAGI, A0A8W8NNK0_CRAGI	A0A8J1Y043_OWEFU
OG0000072	K1Q149_CRAGI	A0A8J1TPC4_OWEFU, A0A8S4N1D9_OWEFU
OG0000073	K1QS33_CRAGI	A0A8J1XJI6_OWEFU
OG0000074	K1QUN5_CRAGI	A0A8J1Y3X5_OWEFU
OG0000075	K1QKW3_CRAGI, A0A8W8HZU1_CRAGI	A0A8J1XWL1_OWEFU
OG0000076	A0A8W8IWN5_CRAGI, K1QYJ1_CRAGI	A0A8J1XHX7_OWEFU, A0A8S4NQ05_OWEFU
OG0000077	A0A8W8JP77_CRAGI, K1QTQ2_CRAGI	A0A8S4N0Y2_OWEFU, A0A8J1U7C5_OWEFU
OG0000078	A0A8W8KP93_CRAGI, K1PLG8_CRAGI	A0A8J1TWH5_OWEFU
OG0000079	K1RMM1_CRAGI	A0A2I6QBN1_OWEFU
OG0000080	K1RSM0_CRAGI	A0A8J1XVX0_OWEFU
OG0000082	A0A8W8I7D4_CRAGI, K1RD84_CRAGI	A0A8J1UJ17_OWEFU
OG0000083	K1QCD7_CRAGI, A0A8W8IUX3_CRAGI	A0A8J1T6P4_OWEFU
OG0000084	K1PG94_CRAGI, A0A8W8KE56_CRAGI	A0A8J1UTM8_OWEFU
OG0000085	K1P9C1_CRAGI	A0A8J1U389_OWEFU
OG0000090	A0A8W8KTQ1_CRAGI	A0A8J1TXV8_OWEFU
OG0000091	A0A8W8KUY9_CRAGI	A0A8S4P2N0_OWEFU, A0A8J1TZD7_OWEFU, A0A8J1TY39_OWEFU
OG0000092	K1RFS1_CRAGI, A0A8W8MYI0_CRAGI	A0A8J1UC05_OWEFU, A0A8S4N0Q0_OWEFU
OG0000098	A0A8W8IYY1_CRAGI, K1PRV1_CRAGI	A0A8S4NCI8_OWEFU
