#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Pdum_DN81078_c0_g1_i8:372-1898   -            509 451957at33208        -            394  8.1e-163  540.1  11.8   1   2   7.5e-36     5e-33  112.7   1.4     6   111    17   137    11   143 0.84 -
Pdum_DN81078_c0_g1_i8:372-1898   -            509 451957at33208        -            394  8.1e-163  540.1  11.8   2   2  5.2e-133  3.4e-130  432.6   3.2   114   394   191   503   154   503 0.90 -
Pdum_DN86589_c0_g1_i11:4011-4406 -            132 451957at33208        -            394   8.4e-10   36.3   0.3   1   1   1.4e-12   9.1e-10   36.2   0.3     9    88    22   109    18   132 0.76 -
Pdum_DN87586_c0_g2_i1:560-1039   -            160 451957at33208        -            394     1e-05   22.8   0.1   1   2   6.8e-05     0.045   10.8   0.0   196   294    10   114     1   120 0.76 -
Pdum_DN87586_c0_g2_i1:560-1039   -            160 451957at33208        -            394     1e-05   22.8   0.1   2   2     9e-05      0.06   10.4   0.0   343   363   130   150   121   158 0.84 -
Pdum_DN83505_c0_g1_i5:2034-2504  -            157 451957at33208        -            394   2.1e-05   21.8   0.1   1   2   2.8e-07   0.00019   18.6   0.1   207   286     4    92     1    99 0.77 -
Pdum_DN83505_c0_g1_i5:2034-2504  -            157 451957at33208        -            394   2.1e-05   21.8   0.1   2   2     0.052        34    1.3   0.0   325   365   100   143    95   154 0.77 -
Pdum_DN69428_c0_g1_i13:60-572    -            171 451957at33208        -            394     0.001   16.2   0.0   1   2   0.00022      0.15    9.1   0.0   180   287    16   128     9   129 0.66 -
Pdum_DN69428_c0_g1_i13:60-572    -            171 451957at33208        -            394     0.001   16.2   0.0   2   2   0.00051      0.34    7.9   0.0   307   351   115   161   109   166 0.84 -
Pdum_DN82040_c3_g1_i2:1563-2027  -            155 451957at33208        -            394     0.004   14.3   2.7   1   2    0.0009       0.6    7.1   1.2   198   287    16   113    10   117 0.76 -
Pdum_DN82040_c3_g1_i2:1563-2027  -            155 451957at33208        -            394     0.004   14.3   2.7   2   2   0.00079      0.53    7.3   0.0   323   351   116   144   112   150 0.90 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /mnt/f/phylo/WORMS/busco_analysis/busco_downloads/lineages/metazoa_odb10/hmms/451957at33208.hmm
# Target file:     /mnt/f/phylo/WORMS/busco_analysis/metazoa_lineage_result/run_metazoa_odb10/metaeuk_output/initial_results/Platynereis_ref.eggnog_filter.nucl.fasta.modified.fas
# Option settings: hmmsearch --domtblout /mnt/f/phylo/WORMS/busco_analysis/metazoa_lineage_result/run_metazoa_odb10/hmmer_output/initial_run_results/451957at33208.out --cpu 1 /mnt/f/phylo/WORMS/busco_analysis/busco_downloads/lineages/metazoa_odb10/hmms/451957at33208.hmm /mnt/f/phylo/WORMS/busco_analysis/metazoa_lineage_result/run_metazoa_odb10/metaeuk_output/initial_results/Platynereis_ref.eggnog_filter.nucl.fasta.modified.fas 
# Current dir:     /mnt/f/phylo/WORMS/busco_analysis
# Date:            Sun Mar 12 20:42:27 2023
# [ok]
