Orthogroup	homeo_ctel	homeo_spha
OG0000000	R7UG11_CAPTE, R7U9H9_CAPTE	A0A812EKG4_SEPPH
OG0000000	R7TK36_CAPTE	A0A812E8A3_SEPPH
OG0000000	R7VJE5_CAPTE, R7UN25_CAPTE, R7VLA1_CAPTE, R7T3T5_CAPTE	A0A812B925_SEPPH
OG0000001	R7T8B4_CAPTE	A0A812CSX7_SEPPH
OG0000002	R7UAD2_CAPTE, R7U8T2_CAPTE	A0A812CH23_SEPPH
OG0000003	R7TKD0_CAPTE, A1XC54_CAPTE	A0A812BTC3_SEPPH
OG0000003	R7UF19_CAPTE	A0A812D295_SEPPH
OG0000004	R7VF41_CAPTE, R7VL20_CAPTE, R7VKC4_CAPTE	A0A812DX13_SEPPH
OG0000006	R7TSQ2_CAPTE, R7UQU2_CAPTE	A0A812BPP8_SEPPH, A0A812BJL2_SEPPH
OG0000009	R7V9E7_CAPTE	A0A812EU87_SEPPH
OG0000010	R7TEF8_CAPTE	A0A812EIQ4_SEPPH
OG0000012	R7T5K2_CAPTE, Q4JEV7_CAPTE	A0A812B8U9_SEPPH
OG0000012	R7T5Y1_CAPTE	A0A812B9P4_SEPPH
OG0000016	R7UF46_CAPTE	A0A812DQW3_SEPPH
OG0000020	R7TTR6_CAPTE, C4MK41_CAPTE, R7TT53_CAPTE	A0A812CVN2_SEPPH
OG0000021	R7TTU8_CAPTE, R7U050_CAPTE	A0A812DH96_SEPPH, A0A812DH78_SEPPH
OG0000023	R7VCA4_CAPTE	A0A812AKM1_SEPPH
OG0000024	B6RFY1_CAPTE, R7UM68_CAPTE	A0A812EZS5_SEPPH
OG0000025	R7UVI0_CAPTE, R7UP28_CAPTE	A0A812DPV1_SEPPH, A0A812DNZ3_SEPPH
OG0000026	R7UC46_CAPTE	A0A812APR0_SEPPH
OG0000031	R7TFZ7_CAPTE	A0A812BB01_SEPPH
OG0000033	C4MLF0_CAPTE, R7T8C3_CAPTE	A0A812CGF8_SEPPH
OG0000034	C4MLF3_CAPTE, R7UCX5_CAPTE	A0A812DGB7_SEPPH
OG0000037	R7UTJ6_CAPTE	A0A812BHZ1_SEPPH
OG0000042	R7TD58_CAPTE, C4MK42_CAPTE	A0A812B373_SEPPH
OG0000044	R7T4R6_CAPTE	A0A812BER8_SEPPH
OG0000047	R7TDU3_CAPTE, B6RFX5_CAPTE, R7TDR5_CAPTE	A0A812DPY5_SEPPH
OG0000049	R7U019_CAPTE	A0A812DM15_SEPPH
OG0000060	R7UDF2_CAPTE, C4MK43_CAPTE	A0A812AM68_SEPPH
OG0000061	R7TJG0_CAPTE	A0A812BSA7_SEPPH, A0A812B6T3_SEPPH
OG0000069	R7UDP9_CAPTE	A0A812BAS7_SEPPH
OG0000070	R7TC57_CAPTE	A0A812DLT3_SEPPH
OG0000071	R7TTE4_CAPTE	A0A812ECF7_SEPPH
OG0000078	R7UZM9_CAPTE	A0A812BK74_SEPPH
OG0000081	R7U7Y9_CAPTE	A0A812ERL0_SEPPH
OG0000085	R7T959_CAPTE	A0A812DSX2_SEPPH
OG0000101	R7TT64_CAPTE	A0A812E8D3_SEPPH
