Orthogroup	homeo_ofus	homeo_pdum
OG0000000	A0A8J1Y3J5_OWEFU	Pdum_DN81728_c1_g1_i5.p1^
OG0000001	A0A8S4NYJ5_OWEFU, A0A8S4P1R3_OWEFU, A0A8S4P2P7_OWEFU, A0A8J1XTI5_OWEFU, A0A8S4P221_OWEFU, A0A8J1XV20_OWEFU, A0A8S4P2I1_OWEFU	Pdum_DN87249_c0_g1_i9.p1^
OG0000002	A0A8J1XR32_OWEFU	Pdum_DN82374_c0_g2_i1.p1^, Pdum_DN69195_c0_g1_i2.p1^
OG0000003	A0A2I6QBP6_OWEFU, A0A8S4N2Y9_OWEFU, A0A8S4N1Z8_OWEFU	Pdum_DN77615_c1_g1_i2.p1^
OG0000003	A0A8S4NWV7_OWEFU, A0A8S4NW90_OWEFU, A0A8S4NTX5_OWEFU, A0A8S4NZG7_OWEFU, A0A8S4NVX6_OWEFU, A0A2I6QBP1_OWEFU	Pdum_DN83553_c0_g1_i4.p1^
OG0000004	A0A8J1ULN0_OWEFU, A0A8S4PHK6_OWEFU, A0A8J1UN28_OWEFU, A0A8J1U7D2_OWEFU, A0A165US65_OWEFU	Pdum_DN76380_c0_g1_i2.p1^
OG0000006	A0A8J1U651_OWEFU	Pdum_DN79817_c0_g1_i1.p1^
OG0000006	A0A8J1TZU4_OWEFU	Pdum_DN88717_c4_g1_i3.p1^
OG0000007	A0A8S4MXX6_OWEFU	Pdum_DN86128_c0_g1_i2.p1^
OG0000007	A0A8J1Y090_OWEFU	Pdum_DN87433_c1_g1_i2.p1^
OG0000009	A0A8J1T4P3_OWEFU, A0A8J1T4X5_OWEFU	Pdum_DN83852_c0_g2_i4.p1^
OG0000010	A0A8J1U072_OWEFU	Pdum_DN83264_c1_g2_i1.p1^
OG0000011	A0A165US84_OWEFU	Pdum_DN70407_c0_g2_i8.p1^
OG0000012	A0A8J1TNT9_OWEFU, A0A8S4N3Y9_OWEFU	Pdum_DN83273_c0_g1_i5.p1^
OG0000013	A0A8J1UD53_OWEFU	Pdum_DN87922_c0_g1_i6.p1^
OG0000013	A0A8J1UCV7_OWEFU	Pdum_DN92432_c4_g1_i1.p1^
OG0000014	A0A8J1XXX6_OWEFU, A0A2I6QBN3_OWEFU, A0A8J1XW66_OWEFU, A0A8J1U7M4_OWEFU	Pdum_DN71779_c0_g1_i1.p1^
OG0000016	A0A8J1UHP7_OWEFU, A0A8J1UEH4_OWEFU, A0A8J1Y336_OWEFU	Pdum_DN81015_c0_g1_i6.p1^
OG0000017	A0A8J1U832_OWEFU	Pdum_DN75322_c0_g2_i2.p1^
OG0000020	A0A8J1T614_OWEFU	Pdum_DN77586_c0_g1_i9.p1^
OG0000021	A0A8S4P241_OWEFU, A0A8J1XWF8_OWEFU	Pdum_DN80764_c1_g1_i2.p1^
OG0000022	A0A8J1TZ61_OWEFU	Pdum_DN68407_c0_g1_i7.p1^
OG0000023	A0A8J1Y3W8_OWEFU, A0A8J1UKC6_OWEFU, A0A8J1UHF5_OWEFU, A0A8S4P263_OWEFU, A0A8J1UG53_OWEFU	Pdum_DN89526_c4_g1_i2.p1^
OG0000024	A0A8J1UDK6_OWEFU, A0A8J1UDF1_OWEFU, A0A8S4MYZ0_OWEFU, A0A8J1U9I4_OWEFU	Pdum_DN92058_c1_g1_i2.p1^
OG0000025	A0A8J1XR59_OWEFU	Pdum_DN66937_c0_g1_i1.p1^
OG0000027	A0A8J1XPB1_OWEFU, A0A8J1XMG3_OWEFU, A0A8S4MZR0_OWEFU, A0A8S4N056_OWEFU, A0A8S4N103_OWEFU, A0A8J1XPS3_OWEFU, A0A8S4N1A7_OWEFU	Pdum_DN90853_c3_g1_i5.p1^
OG0000030	A0A8J1TIQ6_OWEFU, A0A8S4Q4Y5_OWEFU	Pdum_DN79894_c0_g1_i15.p1^
OG0000031	A0A8J1TXC5_OWEFU, A0A8J1XUY2_OWEFU, A0A8J1TVW9_OWEFU	Pdum_DN83076_c0_g2_i1.p1^
OG0000032	A0A8J1UPA1_OWEFU, A0A166GC00_OWEFU, A0A8J1UL28_OWEFU	Pdum_DN67112_c0_g1_i1.p1^
OG0000033	A0A8J1T993_OWEFU, A0A8S4NPX3_OWEFU	Pdum_DN75755_c0_g1_i4.p1^
OG0000034	A0A8J1T830_OWEFU, A0A8J1T7B9_OWEFU	Pdum_DN75781_c0_g1_i2.p1^
OG0000036	A0A8J1TLL2_OWEFU, A0A8J1XNQ9_OWEFU	Pdum_DN85739_c0_g1_i1.p1^
OG0000037	A0A8S4PRS0_OWEFU, A0A8J1TZ22_OWEFU	Pdum_DN50323_c0_g1_i1.p1^, Pdum_DN91429_c7_g4_i1.p1^
OG0000042	A0A8J1XEH4_OWEFU, A0A8J1T6R3_OWEFU	Pdum_DN83362_c0_g1_i12.p1^
OG0000043	A0A8J1Y7V5_OWEFU	Pdum_DN73679_c0_g1_i2.p1^
OG0000046	A0A8J1U8H8_OWEFU	Pdum_DN80119_c0_g1_i2.p1^
OG0000047	A0A8J1U9N6_OWEFU	Pdum_DN84301_c0_g1_i2.p1^
OG0000048	A0A165US97_OWEFU	Pdum_DN83667_c1_g1_i9.p1^
OG0000049	A0A8J1XHJ6_OWEFU, A0A8S4NSB6_OWEFU	Pdum_DN74981_c0_g1_i2.p1^
OG0000052	A0A8J1T5Z3_OWEFU	Pdum_DN81108_c0_g1_i3.p1^
OG0000053	A0A8J1XFX1_OWEFU	Pdum_DN72621_c0_g1_i2.p1^
OG0000054	A0A8J1TND9_OWEFU	Pdum_DN78247_c0_g1_i1.p1^
OG0000057	A0A8J1UAP0_OWEFU	Pdum_DN81728_c0_g1_i1.p1^
OG0000058	A0A8J1UWG1_OWEFU	Pdum_DN80655_c0_g3_i2.p1^
OG0000059	A0A8J1XPH2_OWEFU, A0A2I6EEG1_OWEFU, A0A8S4N1Q5_OWEFU	Pdum_DN89862_c1_g2_i3.p1^
