Orthogroup	homeo_ofus	homeo_mcor
OG0000000	A0A8J1UID4_OWEFU	A0A6J8D361_MYTCO
OG0000000	A0A8J1UPU6_OWEFU	A0A6J8D4Z1_MYTCO
OG0000000	A0A8J1TH95_OWEFU	A0A6J8A6S6_MYTCO
OG0000000	A0A8J1UBP8_OWEFU, A0A8S4NIW6_OWEFU	A0A6J8DYR4_MYTCO
OG0000001	A0A8S4NYJ5_OWEFU, A0A8S4P1R3_OWEFU, A0A8S4P2P7_OWEFU, A0A8J1XTI5_OWEFU, A0A8S4P221_OWEFU, A0A8J1XV20_OWEFU, A0A8S4P2I1_OWEFU	A0A6J8D4G9_MYTCO, A0A6J8D326_MYTCO, A0A6J8D1S3_MYTCO, A0A6J8CZX6_MYTCO, A0A6J8D2D2_MYTCO
OG0000002	A0A8J1XR32_OWEFU	A0A6J8CM12_MYTCO, A0A6J8CIP8_MYTCO, A0A6J8C766_MYTCO, A0A6J8CB01_MYTCO, A0A6J8CAU0_MYTCO, A0A6J8C6X8_MYTCO, A0A6J8CRW7_MYTCO, A0A6J8E6I5_MYTCO
OG0000003	A0A2I6QBP6_OWEFU, A0A8S4N2Y9_OWEFU, A0A8S4N1Z8_OWEFU	A0A6J8C7S3_MYTCO
OG0000003	A0A8S4NWV7_OWEFU, A0A8S4NW90_OWEFU, A0A8S4NTX5_OWEFU, A0A8S4NZG7_OWEFU, A0A8S4NVX6_OWEFU, A0A2I6QBP1_OWEFU	A0A6J8BYI7_MYTCO
OG0000004	A0A8J1ULN0_OWEFU	A0A6J8CNA2_MYTCO
OG0000004	A0A8S4PHK6_OWEFU, A0A8J1UN28_OWEFU	A0A6J8D371_MYTCO
OG0000004	A0A8J1U7D2_OWEFU, A0A165US65_OWEFU	A0A6J8B9F8_MYTCO
OG0000006	A0A8J1U651_OWEFU	A0A6J8DH72_MYTCO, A0A6J8DEH6_MYTCO
OG0000007	A0A8S4MXX6_OWEFU	A0A6J8EWP7_MYTCO
OG0000007	A0A8J1Y090_OWEFU	A0A6J8EWJ3_MYTCO
OG0000008	A0A8S4Q800_OWEFU, A0A165USE9_OWEFU, A0A8J1XWV6_OWEFU	A0A6J8DAR7_MYTCO, A0A6J8DBP9_MYTCO
OG0000009	A0A8J1T4P3_OWEFU, A0A8J1T4X5_OWEFU	A0A6J8CLR7_MYTCO, A0A6J8CIY4_MYTCO
OG0000010	A0A8J1U072_OWEFU	A0A6J8AYI9_MYTCO
OG0000010	A0A8J1TY94_OWEFU	A0A6J8B0Y3_MYTCO, A0A6J8AXF0_MYTCO, A0A6J8AD85_MYTCO
OG0000011	A0A165US84_OWEFU	A0A6J8DUM5_MYTCO
OG0000012	A0A8J1TNT9_OWEFU, A0A8S4N3Y9_OWEFU	A0A6J8DJ46_MYTCO, A0A6J8DK06_MYTCO
OG0000013	A0A8J1UD53_OWEFU	A0A6J8EU52_MYTCO
OG0000013	A0A8J1UCV7_OWEFU	A0A6J8EUM6_MYTCO
OG0000014	A0A8J1XXX6_OWEFU, A0A2I6QBN3_OWEFU, A0A8J1XW66_OWEFU, A0A8J1U7M4_OWEFU	A0A6J8A481_MYTCO
OG0000015	A0A8J1XFN8_OWEFU, A0A2I6QBP3_OWEFU, A0A2I6QBN9_OWEFU	A0A6J8AFB3_MYTCO
OG0000016	A0A8J1UHP7_OWEFU, A0A8J1UEH4_OWEFU	A0A6J8AS36_MYTCO
OG0000017	A0A8J1U832_OWEFU	A0A6J8EWU2_MYTCO
OG0000020	A0A8J1T614_OWEFU	A0A6J8EQ72_MYTCO
OG0000021	A0A8S4P241_OWEFU, A0A8J1XWF8_OWEFU	A0A6J8AHL2_MYTCO
OG0000022	A0A8J1TZ61_OWEFU	A0A6J8AXB1_MYTCO, A0A6J8AT60_MYTCO, A0A6J8AWI0_MYTCO
OG0000023	A0A8J1Y3W8_OWEFU, A0A8J1UKC6_OWEFU, A0A8J1UHF5_OWEFU, A0A8S4P263_OWEFU, A0A8J1UG53_OWEFU	A0A6J8CQJ4_MYTCO, A0A6J8CS02_MYTCO
OG0000024	A0A8J1UDK6_OWEFU, A0A8J1UDF1_OWEFU, A0A8S4MYZ0_OWEFU, A0A8J1U9I4_OWEFU	A0A6J8A9D3_MYTCO
OG0000025	A0A8J1XR59_OWEFU	A0A6J8D8H3_MYTCO
OG0000026	A0A8J1UI38_OWEFU	A0A6J8DYQ0_MYTCO
OG0000027	A0A8J1XPB1_OWEFU, A0A8J1XMG3_OWEFU, A0A8S4MZR0_OWEFU, A0A8S4N056_OWEFU, A0A8S4N103_OWEFU, A0A8J1XPS3_OWEFU, A0A8S4N1A7_OWEFU	A0A6J8D474_MYTCO
OG0000030	A0A8J1TIQ6_OWEFU, A0A8S4Q4Y5_OWEFU	A0A6J8ERK1_MYTCO, A0A6J8EQX0_MYTCO, A0A6J8ENY4_MYTCO, A0A6J8ES43_MYTCO
OG0000031	A0A8J1TXC5_OWEFU, A0A8J1XUY2_OWEFU, A0A8J1TVW9_OWEFU	A0A6J8EJZ7_MYTCO, A0A6J8EIY5_MYTCO
OG0000032	A0A8J1UPA1_OWEFU, A0A166GC00_OWEFU, A0A8J1UL28_OWEFU	A0A6J8C463_MYTCO
OG0000033	A0A8J1T993_OWEFU, A0A8S4NPX3_OWEFU	A0A6J8DTJ6_MYTCO
OG0000034	A0A8J1T830_OWEFU, A0A8J1T7B9_OWEFU	A0A6J8C2J9_MYTCO
OG0000035	A0A8S4P1L7_OWEFU, A0A8J1XVI0_OWEFU	A0A6J8CQA8_MYTCO
OG0000037	A0A8S4PRS0_OWEFU, A0A8J1TZ22_OWEFU	A0A6J8EMB0_MYTCO
OG0000038	A0A8J1TIC1_OWEFU	A0A6J8ENW5_MYTCO, A0A6J8EPC6_MYTCO
OG0000040	A0A8J1U2Q5_OWEFU, A0A165USH4_OWEFU	A0A6J8EYL3_MYTCO, A0A6J8AWT6_MYTCO
OG0000041	A0A8J1TUD3_OWEFU	A0A6J8CBE3_MYTCO
OG0000042	A0A8J1XEH4_OWEFU	A0A6J8CIT0_MYTCO
OG0000044	A0A8S4PLQ3_OWEFU, A0A8J1UNW8_OWEFU	A0A6J8C331_MYTCO
OG0000045	A0A8J1XM42_OWEFU, A0A165USC6_OWEFU	A0A6J8AUN1_MYTCO, A0A6J8AZ87_MYTCO
OG0000046	A0A8J1U8H8_OWEFU	A0A6J8EY74_MYTCO
OG0000047	A0A8J1U9N6_OWEFU	A0A6J8EWN4_MYTCO
OG0000048	A0A165US97_OWEFU	A0A6J8ENB2_MYTCO
OG0000049	A0A8J1XHJ6_OWEFU, A0A8S4NSB6_OWEFU	A0A6J8DUS0_MYTCO
OG0000051	A0A8J1XQF8_OWEFU, A0A8S4N0G9_OWEFU	A0A6J8D1U5_MYTCO, A0A6J8D2E6_MYTCO
OG0000052	A0A8J1T5Z3_OWEFU	A0A6J8EFH5_MYTCO
OG0000053	A0A8J1XFX1_OWEFU	A0A6J8EZ06_MYTCO
OG0000054	A0A8J1TND9_OWEFU	A0A6J8AVS3_MYTCO
OG0000056	A0A8S4N570_OWEFU, A0A8J1TQI2_OWEFU	A0A6J8A8V3_MYTCO
OG0000057	A0A8J1UAP0_OWEFU	A0A6J8BQG6_MYTCO
OG0000058	A0A8J1UWG1_OWEFU	A0A6J8ABZ2_MYTCO
OG0000059	A0A8J1XPH2_OWEFU, A0A2I6EEG1_OWEFU, A0A8S4N1Q5_OWEFU	A0A6J8DVH7_MYTCO
OG0000060	A0A8J1XFR7_OWEFU	A0A6J8B2W8_MYTCO
OG0000061	A0A8S4PTX5_OWEFU, A0A8J1TXI9_OWEFU	A0A6J8DIY8_MYTCO
OG0000062	A0A8J1Y520_OWEFU	A0A6J8AC99_MYTCO
OG0000063	A0A8S4PD62_OWEFU, A0A8J1UM84_OWEFU	A0A6J8BAF2_MYTCO
OG0000064	A0A8J1TVS4_OWEFU	A0A6J8BRJ0_MYTCO
OG0000066	A0A8J1TJ83_OWEFU	A0A6J8AVM2_MYTCO
OG0000067	A0A8J1Y1U3_OWEFU	A0A6J8EU43_MYTCO
