Orthogroup	homeo_spha	homeo_pdum
OG0000000	A0A812E8A3_SEPPH	Pdum_DN81728_c1_g1_i5.p1^
OG0000001	A0A812CSX7_SEPPH	Pdum_DN87249_c0_g1_i9.p1^
OG0000002	A0A812CHV2_SEPPH, A0A812CH23_SEPPH	Pdum_DN82374_c0_g2_i1.p1^, Pdum_DN69195_c0_g1_i2.p1^
OG0000003	A0A812BTC3_SEPPH	Pdum_DN77615_c1_g1_i2.p1^
OG0000003	A0A812D295_SEPPH	Pdum_DN83553_c0_g1_i4.p1^
OG0000004	A0A812DX13_SEPPH	Pdum_DN76380_c0_g1_i2.p1^
OG0000006	A0A812BPP8_SEPPH, A0A812BJL2_SEPPH	Pdum_DN79817_c0_g1_i1.p1^, Pdum_DN88717_c4_g1_i3.p1^
OG0000009	A0A812EU87_SEPPH	Pdum_DN83852_c0_g2_i4.p1^
OG0000010	A0A812EIQ4_SEPPH	Pdum_DN83264_c1_g2_i1.p1^
OG0000012	A0A812B8U9_SEPPH, A0A812B9P4_SEPPH	Pdum_DN83273_c0_g1_i5.p1^
OG0000016	A0A812DQW3_SEPPH	Pdum_DN81015_c0_g1_i6.p1^
OG0000019	A0A812E850_SEPPH	Pdum_DN84079_c0_g1_i3.p1^, Pdum_DN72039_c3_g4_i2.p1^, Pdum_DN86613_c0_g1_i2.p1^
OG0000020	A0A812CVN2_SEPPH	Pdum_DN77586_c0_g1_i9.p1^
OG0000021	A0A812DH96_SEPPH, A0A812DH78_SEPPH	Pdum_DN80764_c1_g1_i2.p1^
OG0000023	A0A812AKM1_SEPPH	Pdum_DN89526_c4_g1_i2.p1^
OG0000024	A0A812EZS5_SEPPH	Pdum_DN92058_c1_g1_i2.p1^
OG0000025	A0A812DPV1_SEPPH, A0A812DNZ3_SEPPH	Pdum_DN66937_c0_g1_i1.p1^
OG0000027	A0A812E3X7_SEPPH	Pdum_DN90853_c3_g1_i5.p1^
OG0000030	A0A812CU56_SEPPH, A0A812CKB5_SEPPH	Pdum_DN79894_c0_g1_i15.p1^
OG0000031	A0A812BB01_SEPPH	Pdum_DN83076_c0_g2_i1.p1^
OG0000034	A0A812DGB7_SEPPH	Pdum_DN75781_c0_g1_i2.p1^
OG0000037	A0A812BHZ1_SEPPH	Pdum_DN50323_c0_g1_i1.p1^, Pdum_DN91429_c7_g4_i1.p1^
OG0000042	A0A812B373_SEPPH	Pdum_DN83362_c0_g1_i12.p1^
OG0000047	A0A812DPY5_SEPPH	Pdum_DN84301_c0_g1_i2.p1^
OG0000049	A0A812DM15_SEPPH	Pdum_DN74981_c0_g1_i2.p1^
OG0000069	A0A812BAS7_SEPPH	Pdum_DN84796_c0_g1_i12.p1^
OG0000071	A0A812ECF7_SEPPH	Pdum_DN91293_c5_g1_i4.p1^
OG0000081	A0A812ERL0_SEPPH	Pdum_DN91247_c6_g1_i5.p1^
