#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Pdum_DN90789_c3_g1_i5:575-2887  -            771 359532at33208        -            410   4.9e-25   85.8   1.8   1   2   9.1e-15   1.2e-12   45.0   0.2    64   244    47   230    33   232 0.74 -
Pdum_DN90789_c3_g1_i5:575-2887  -            771 359532at33208        -            410   4.9e-25   85.8   1.8   2   2   1.2e-13   1.7e-11   41.3   0.1   111   246   200   340   194   350 0.75 -
Pdum_DN89968_c2_g1_i5:3055-4149 -            365 359532at33208        -            410   2.6e-22   76.8   8.4   1   3   6.5e-18   8.7e-16   55.4   2.3    62   239    38   215    28   215 0.77 -
Pdum_DN89968_c2_g1_i5:3055-4149 -            365 359532at33208        -            410   2.6e-22   76.8   8.4   2   3   1.2e-08   1.6e-06   24.8   0.9   151   246   172   271   168   274 0.77 -
Pdum_DN89968_c2_g1_i5:3055-4149 -            365 359532at33208        -            410   2.6e-22   76.8   8.4   3   3   5.4e-07   7.2e-05   19.4   0.3    96   180   224   307   221   322 0.79 -
Pdum_DN75712_c1_g1_i6:541-1626  -            362 359532at33208        -            410   9.3e-22   75.0   2.0   1   3    0.0037      0.49    6.8   0.1   167   213    61   107     2   112 0.82 -
Pdum_DN75712_c1_g1_i6:541-1626  -            362 359532at33208        -            410   9.3e-22   75.0   2.0   2   3   6.3e-13   8.4e-11   39.0   0.2   152   285    95   235    93   237 0.79 -
Pdum_DN75712_c1_g1_i6:541-1626  -            362 359532at33208        -            410   9.3e-22   75.0   2.0   3   3   2.3e-13   3.1e-11   40.4   0.1   128   255   179   314   175   324 0.75 -
Pdum_DN90057_c3_g1_i8:1208-1921 -            238 359532at33208        -            410   1.7e-20   70.9   0.0   1   2   5.1e-13   6.8e-11   39.2   0.1    97   243     1   149     1   151 0.84 -
Pdum_DN90057_c3_g1_i8:1208-1921 -            238 359532at33208        -            410   1.7e-20   70.9   0.0   2   2     3e-10     4e-08   30.1   0.0   147   217   150   221   146   233 0.81 -
Pdum_DN72376_c0_g1_i1:632-1441  -            270 359532at33208        -            410   1.4e-15   54.7   1.1   1   2   5.6e-08   7.4e-06   22.7   0.2   143   240    21   123     2   131 0.72 -
