Orthogroup	homeo_ctel	homeo_mcor
OG0000000	R7UG11_CAPTE, R7U9H9_CAPTE	A0A6J8D361_MYTCO
OG0000000	R7VJE5_CAPTE	A0A6J8D4Z1_MYTCO
OG0000000	R7UN25_CAPTE	A0A6J8A6S6_MYTCO
OG0000000	R7VLA1_CAPTE	A0A6J8DYR4_MYTCO
OG0000001	R7T8B4_CAPTE	A0A6J8D4G9_MYTCO, A0A6J8D326_MYTCO, A0A6J8D1S3_MYTCO, A0A6J8CZX6_MYTCO, A0A6J8D2D2_MYTCO
OG0000002	R7UAD2_CAPTE	A0A6J8C766_MYTCO, A0A6J8CB01_MYTCO, A0A6J8CAU0_MYTCO, A0A6J8C6X8_MYTCO
OG0000002	R7UAD6_CAPTE	A0A6J8CRW7_MYTCO, A0A6J8E6I5_MYTCO
OG0000003	R7TKD0_CAPTE, A1XC54_CAPTE	A0A6J8C7S3_MYTCO
OG0000003	R7UF19_CAPTE	A0A6J8BYI7_MYTCO
OG0000004	F9W2V7_CAPTE	A0A6J8CNA2_MYTCO
OG0000004	R7TJR3_CAPTE	A0A6J8D371_MYTCO
OG0000004	R7VF41_CAPTE, R7VL20_CAPTE, R7VKC4_CAPTE	A0A6J8B9F8_MYTCO
OG0000007	R7TDU7_CAPTE, B6RFX9_CAPTE	A0A6J8EWP7_MYTCO
OG0000007	B6RFY0_CAPTE	A0A6J8EWJ3_MYTCO
OG0000008	R7VB52_CAPTE	A0A6J8DAR7_MYTCO, A0A6J8DBP9_MYTCO
OG0000009	R7V9E7_CAPTE	A0A6J8CLR7_MYTCO, A0A6J8CIY4_MYTCO
OG0000010	R7TEF8_CAPTE	A0A6J8AYI9_MYTCO
OG0000010	R7T8A8_CAPTE	A0A6J8B0Y3_MYTCO, A0A6J8AXF0_MYTCO, A0A6J8AD85_MYTCO
OG0000011	A6XFC4_CAPTE, I2CHN7_CAPTE, I2CHN6_CAPTE, R7UJW8_CAPTE	A0A6J8DUM5_MYTCO
OG0000012	R7T5K2_CAPTE, Q4JEV7_CAPTE, R7T5Y1_CAPTE	A0A6J8DJ46_MYTCO, A0A6J8DK06_MYTCO
OG0000013	B6RFX8_CAPTE	A0A6J8EU52_MYTCO
OG0000013	R7TDR8_CAPTE, B6RFY3_CAPTE	A0A6J8EUM6_MYTCO
OG0000014	R7ULV8_CAPTE, C4MK38_CAPTE, C4MK39_CAPTE, R7UKD7_CAPTE	A0A6J8A481_MYTCO
OG0000015	R7T846_CAPTE, R7TFH5_CAPTE	A0A6J8AFB3_MYTCO
OG0000016	R7UF46_CAPTE	A0A6J8AS36_MYTCO
OG0000017	R7TLA4_CAPTE, B6RFX6_CAPTE	A0A6J8EWU2_MYTCO
OG0000020	R7TTR6_CAPTE, C4MK41_CAPTE, R7TT53_CAPTE	A0A6J8EQ72_MYTCO
OG0000021	R7TTU8_CAPTE, R7U050_CAPTE	A0A6J8AHL2_MYTCO
OG0000022	R7TPZ8_CAPTE	A0A6J8AXB1_MYTCO, A0A6J8AT60_MYTCO, A0A6J8AWI0_MYTCO
OG0000023	R7VCA4_CAPTE	A0A6J8CQJ4_MYTCO, A0A6J8CS02_MYTCO
OG0000024	B6RFY1_CAPTE, R7UM68_CAPTE	A0A6J8A9D3_MYTCO
OG0000025	R7UVI0_CAPTE, R7UP28_CAPTE	A0A6J8D8H3_MYTCO
OG0000026	R7UC46_CAPTE	A0A6J8DYQ0_MYTCO
OG0000029	R7V0S4_CAPTE	A0A6J8BVE3_MYTCO, A0A6J8BWE0_MYTCO, A0A6J8BU55_MYTCO
OG0000029	R7TZ85_CAPTE, R7TQQ8_CAPTE, R7U1J4_CAPTE, R7UX02_CAPTE	A0A6J8A5C1_MYTCO, A0A6J8A4J2_MYTCO
OG0000031	R7TFZ7_CAPTE	A0A6J8EJZ7_MYTCO, A0A6J8EIY5_MYTCO
OG0000032	R7TUB2_CAPTE	A0A6J8C463_MYTCO
OG0000033	C4MLF0_CAPTE, R7T8C3_CAPTE	A0A6J8DTJ6_MYTCO
OG0000034	C4MLF3_CAPTE, R7UCX5_CAPTE	A0A6J8C2J9_MYTCO
OG0000035	R7UAK3_CAPTE, R7U2Q3_CAPTE, R7UAU5_CAPTE	A0A6J8CQA8_MYTCO
OG0000037	R7UTJ6_CAPTE	A0A6J8EMB0_MYTCO
OG0000038	R7TQQ6_CAPTE	A0A6J8ENW5_MYTCO, A0A6J8EPC6_MYTCO
OG0000040	R7TU37_CAPTE	A0A6J8EYL3_MYTCO, A0A6J8AWT6_MYTCO
OG0000041	R7TL21_CAPTE	A0A6J8CBE3_MYTCO
OG0000042	R7TD58_CAPTE, C4MK42_CAPTE	A0A6J8CIT0_MYTCO
OG0000043	X1ZZA7_CAPTE	A0A6J8AZP6_MYTCO
OG0000044	R7T4R6_CAPTE	A0A6J8C331_MYTCO
OG0000045	R7TXI6_CAPTE, Q2FBJ0_CAPTE	A0A6J8AUN1_MYTCO, A0A6J8AZ87_MYTCO
OG0000046	R7TK21_CAPTE, B6RFX4_CAPTE	A0A6J8EY74_MYTCO
OG0000047	R7TDU3_CAPTE, B6RFX5_CAPTE, R7TDR5_CAPTE	A0A6J8EWN4_MYTCO
OG0000048	C4MK37_CAPTE, R7TY93_CAPTE	A0A6J8ENB2_MYTCO
OG0000049	R7U019_CAPTE	A0A6J8DUS0_MYTCO
OG0000050	Q2FBI9_CAPTE, R7U4M8_CAPTE, R7V8P0_CAPTE	A0A6J8AUZ8_MYTCO
OG0000051	R7UP51_CAPTE	A0A6J8D1U5_MYTCO, A0A6J8D2E6_MYTCO
OG0000052	R7TCH5_CAPTE, C4MLF2_CAPTE	A0A6J8EFH5_MYTCO
OG0000053	C4MLF1_CAPTE, R7TTZ4_CAPTE	A0A6J8EZ06_MYTCO
OG0000054	R7UMJ1_CAPTE	A0A6J8AVS3_MYTCO
OG0000056	R7UAI4_CAPTE, B6RFY2_CAPTE	A0A6J8A8V3_MYTCO
OG0000057	R7TGN1_CAPTE, R7TGD7_CAPTE	A0A6J8BQG6_MYTCO
OG0000058	R7UC57_CAPTE	A0A6J8ABZ2_MYTCO
OG0000059	R7UNJ2_CAPTE	A0A6J8DVH7_MYTCO
OG0000060	R7UDF2_CAPTE, C4MK43_CAPTE	A0A6J8B2W8_MYTCO
OG0000061	R7TJG0_CAPTE	A0A6J8DIY8_MYTCO
OG0000062	R7UWA1_CAPTE	A0A6J8AC99_MYTCO
OG0000063	R7TI74_CAPTE, R7VCX8_CAPTE	A0A6J8BAF2_MYTCO
OG0000064	Q09VU4_CAPTE, R7TJF1_CAPTE	A0A6J8BRJ0_MYTCO
OG0000066	Q2FA45_CAPTE, R7TBA9_CAPTE	A0A6J8AVM2_MYTCO
OG0000067	R7TLA0_CAPTE, B6RFX3_CAPTE	A0A6J8EU43_MYTCO
OG0000068	B6RFX7_CAPTE, R7TK28_CAPTE	A0A6J8EUF3_MYTCO
OG0000069	R7UDP9_CAPTE	A0A6J8DU24_MYTCO
OG0000070	R7TC57_CAPTE	A0A6J8CAG2_MYTCO
OG0000071	R7TTE4_CAPTE	A0A6J8E6J6_MYTCO
OG0000072	R7UX36_CAPTE, R7TQE4_CAPTE, R7UP44_CAPTE	A0A6J8CGL6_MYTCO
OG0000073	R7UK02_CAPTE	A0A6J8D4P7_MYTCO
OG0000074	R7VJ71_CAPTE	A0A6J8DNQ5_MYTCO
OG0000075	R7TRL6_CAPTE	A0A6J8D1U8_MYTCO
OG0000076	R7U6M3_CAPTE	A0A6J8EZB9_MYTCO
OG0000077	R7UUL8_CAPTE	A0A6J8B0V2_MYTCO
OG0000078	R7UZM9_CAPTE	A0A6J8C5Y5_MYTCO
OG0000079	C4MLE9_CAPTE	A0A6J8EFG0_MYTCO, A0A6J8ECG1_MYTCO
OG0000080	R7V240_CAPTE	A0A6J8C7H5_MYTCO
OG0000081	R7U7Y9_CAPTE	A0A6J8CYK6_MYTCO
OG0000082	R7VCI3_CAPTE	A0A6J8D1Q7_MYTCO
OG0000083	R7TD78_CAPTE	A0A6J8EYX5_MYTCO
OG0000084	R7VEW7_CAPTE, R7UQR4_CAPTE	A0A6J8D9V9_MYTCO
OG0000085	R7T959_CAPTE	A0A6J8CP64_MYTCO
OG0000090	R7TS59_CAPTE	A0A6J8BXD5_MYTCO
OG0000093	R7TGS1_CAPTE	A0A6J8BBK9_MYTCO
OG0000101	R7TT64_CAPTE	A0A6J8DHC6_MYTCO
