Orthogroup	homeo_cgig	homeo_lgig
OG0000000	A0A8W8NKQ5_CRAGI, A0A8W8NC56_CRAGI	V3ZJY3_LOTGI
OG0000000	A0A8W8LME9_CRAGI, K1PTP4_CRAGI	V4B1Z7_LOTGI
OG0000000	A0A8W8LAX7_CRAGI	V4ARX4_LOTGI
OG0000000	A0A8W8IPA2_CRAGI, K1Q3T5_CRAGI	V3Z594_LOTGI
OG0000001	A0A8W8KTU7_CRAGI, A0A8W8KWH7_CRAGI, A0A8W8KVY4_CRAGI, A0A8W8KZP0_CRAGI, A0A8W8KTZ2_CRAGI, A0A8W8KTY2_CRAGI, K1RRF9_CRAGI, A0A8W8KTT7_CRAGI, A0A8W8KWH2_CRAGI, A0A8W8KZM6_CRAGI, A0A8W8KTV3_CRAGI, A0A8W8KTZ7_CRAGI, A0A8W8KVZ3_CRAGI, A0A8W8KVY9_CRAGI, A0A8W8KWI1_CRAGI, A0A8W8KTU2_CRAGI, A0A8W8KZN5_CRAGI, A0A8W8KTY7_CRAGI, A0A8W8KZN0_CRAGI	V4BBQ6_LOTGI
OG0000002	K1QIR0_CRAGI, A0A8W8JTR1_CRAGI, A0A8W8JT33_CRAGI, A0A8W8JX80_CRAGI	V3ZPC7_LOTGI
OG0000002	K1Q4X5_CRAGI, A0A8W8KJ06_CRAGI	V3YXA5_LOTGI
OG0000003	K1RJL2_CRAGI, A0A8W8JYI5_CRAGI, A0A8W8JW62_CRAGI	A0A0B6VNG5_LOTGI, V4AMZ8_LOTGI
OG0000003	A0A8W8NGD8_CRAGI, A0A8W8N7T4_CRAGI, K1QCD5_CRAGI, A0A8W8NKP9_CRAGI	V3ZQV3_LOTGI
OG0000004	A0A8W8IAI7_CRAGI, A0A8W8IAW9_CRAGI, K1PJH4_CRAGI	V3ZUB0_LOTGI
OG0000004	K1RZS7_CRAGI, A0A8W8I5K6_CRAGI, A0A8W8I4C7_CRAGI, A0A8W8I588_CRAGI	V4AHM7_LOTGI
OG0000004	K1QUB8_CRAGI	V3Z5W5_LOTGI
OG0000006	K1PKC2_CRAGI	V4AF73_LOTGI
OG0000007	A0A8W8MTX2_CRAGI, A0A8W8N115_CRAGI, A0A8W8N1M3_CRAGI, K1QW78_CRAGI	V4AG11_LOTGI
OG0000007	K1RXD0_CRAGI	V4CL38_LOTGI
OG0000008	A0A8W8ID58_CRAGI, A0A8W8IDF2_CRAGI, K1R2U9_CRAGI, A0A8W8IBL0_CRAGI, A0A8W8ID51_CRAGI	A0A0B6VH88_LOTGI, V4A346_LOTGI
OG0000009	K1S2R0_CRAGI, A0A8W8IMV1_CRAGI, A0A8W8IM65_CRAGI, A0A8W8INQ7_CRAGI, K1QXJ5_CRAGI	V3ZVS2_LOTGI
OG0000010	A0A8W8L0Q8_CRAGI, K1QGS5_CRAGI	V4BUI5_LOTGI
OG0000010	K1R2K0_CRAGI, A0A8W8KX13_CRAGI	V3ZMY7_LOTGI
OG0000011	K1PAC6_CRAGI, A0A8W8NHM8_CRAGI, A0A8W8NPX1_CRAGI	V3ZS97_LOTGI
OG0000011	A0A8W8NKY1_CRAGI, K1QA73_CRAGI	V4BYW7_LOTGI
OG0000012	A0A8W8N8Z0_CRAGI, K1PNG1_CRAGI, K1PW38_CRAGI	V3ZYQ4_LOTGI, V4A376_LOTGI
OG0000013	A0A8W8N110_CRAGI, A0A8W8N1L7_CRAGI, K1RHX0_CRAGI, A0A8W8N1L2_CRAGI	V4BAL1_LOTGI
OG0000014	K1QCU1_CRAGI, A0A8W8I780_CRAGI, A0A8W8I5P7_CRAGI	V3ZFW3_LOTGI
OG0000015	A0A8W8IY98_CRAGI, K1QPR6_CRAGI, A0A8W8J181_CRAGI, A0A8W8IZU2_CRAGI, A0A8W8J275_CRAGI	V4CK27_LOTGI, V4AEW6_LOTGI, V4AYB9_LOTGI
OG0000016	A0A8W8LHX8_CRAGI, K1RE41_CRAGI, A0A8W8LGC0_CRAGI, A0A8W8LMC2_CRAGI	V4AKS9_LOTGI, A0A0B6VJM6_LOTGI
OG0000017	A0A8W8MTV1_CRAGI, A0A8W8MYP5_CRAGI, A0A8W8N1I9_CRAGI, K1QFQ3_CRAGI, A0A8W8N4T0_CRAGI, A0A8W8MYP1_CRAGI, A0A8W8N4S5_CRAGI, A0A8W8N4T5_CRAGI	V4CL34_LOTGI
OG0000019	A0A8W8MBS7_CRAGI, A0A8W8ML63_CRAGI, K1RYM7_CRAGI, A0A8W8MC90_CRAGI	V4B0Q5_LOTGI
OG0000020	K1QLY6_CRAGI, A0A8W8IV11_CRAGI, A0A8W8ITK7_CRAGI, A0A8W8IVV5_CRAGI, A0A8W8ITN2_CRAGI, A0A8W8IX86_CRAGI	V3ZZF5_LOTGI
OG0000021	A0A8W8KZY7_CRAGI, K1PZT1_CRAGI, A0A8W8KUA3_CRAGI, A0A8W8KU68_CRAGI	V4BGE9_LOTGI, A0A0B6VLM4_LOTGI
OG0000022	K1R6C9_CRAGI, A0A8W8LDK7_CRAGI, K1R014_CRAGI, A0A8W8LJK1_CRAGI, A0A8W8LF54_CRAGI	V4BA79_LOTGI, A0A0B6VH93_LOTGI
OG0000023	K1RMV0_CRAGI, A0A8W8MC14_CRAGI	V4BHE9_LOTGI
OG0000024	A0A8W8MYT7_CRAGI, A0A8W8N1P2_CRAGI, K1PZI6_CRAGI	V4BAL6_LOTGI
OG0000025	A0A8W8NBC0_CRAGI, A0A8W8NE43_CRAGI, A0A8W8NIK3_CRAGI, A0A8W8NEB1_CRAGI, K1PYG5_CRAGI	V4AG18_LOTGI
OG0000026	A0A8W8L5Z7_CRAGI, A0A8W8L9G2_CRAGI, K1R684_CRAGI, A0A8W8L5E0_CRAGI, A0A8W8L493_CRAGI, A0A8W8L9F6_CRAGI, A0A8W8L3M1_CRAGI	V4A848_LOTGI
OG0000027	A0A8W8N5P0_CRAGI	V4BFH7_LOTGI
OG0000028	K1RAG1_CRAGI, K1PT65_CRAGI, K1Q0K0_CRAGI	V4ACD2_LOTGI, V4AH97_LOTGI, V3ZVH8_LOTGI
OG0000031	A0A8W8HLC1_CRAGI	A0A0B6VI83_LOTGI, V3ZSX3_LOTGI
OG0000032	K1PV30_CRAGI, A0A8W8I6I3_CRAGI	B6SD85_LOTGI, V3Z534_LOTGI, A0A0B6VJK7_LOTGI
OG0000033	K1QM31_CRAGI, A0A8W8IS98_CRAGI, A0A8W8IS94_CRAGI	V3YX15_LOTGI
OG0000034	K1PJ20_CRAGI, A0A8W8J227_CRAGI, A0A8W8IYA2_CRAGI	V4ACI6_LOTGI
OG0000035	K1RII0_CRAGI, A0A8W8K4L4_CRAGI, K1RU62_CRAGI, A0A8W8LA92_CRAGI	V3ZZC7_LOTGI, A0A0B6VNI7_LOTGI
OG0000036	K1REH4_CRAGI, A0A8W8KDY3_CRAGI, A0A8W8KK48_CRAGI	A0A0B6VI79_LOTGI
OG0000037	A0A8W8KL69_CRAGI, A0A8W8KM51_CRAGI, K1PV68_CRAGI	V4AJI3_LOTGI
OG0000038	A0A8W8KQE1_CRAGI, A0A8W8KN59_CRAGI, A0A8W8KQD6_CRAGI, A0A8W8KN12_CRAGI, A0A8W8KN17_CRAGI, K1QAT6_CRAGI	V4BLD9_LOTGI
OG0000039	A0A8W8M1J7_CRAGI, K1R9Y4_CRAGI	V4AA12_LOTGI, V4BKP8_LOTGI, V4A794_LOTGI, V4A2J2_LOTGI, V4ACK5_LOTGI, V3ZRN3_LOTGI
OG0000040	A0A8W8HPX3_CRAGI, A0A8W8HQ61_CRAGI, K1P7N7_CRAGI, K1R5Y2_CRAGI	A0A0B6VH87_LOTGI, V4B9I8_LOTGI
OG0000041	A0A8W8ICU4_CRAGI, A0A8W8IBC2_CRAGI, A0A8W8IBB7_CRAGI, K1QVP2_CRAGI, A0A8W8IBB5_CRAGI, A0A8W8ICT9_CRAGI	A0A0B6VNG0_LOTGI, V4ACH7_LOTGI
OG0000042	A0A8W8IG58_CRAGI, K1RAP6_CRAGI	V4A7Q4_LOTGI
OG0000043	K1QV62_CRAGI, A0A8W8JWV0_CRAGI	V3YXS2_LOTGI
OG0000044	A0A8W8K987_CRAGI, A0A8W8K5L3_CRAGI, A0A8W8K5F1_CRAGI, K1QCX7_CRAGI	A0A0B6VLK3_LOTGI, V3ZXV0_LOTGI
OG0000045	K1QXA8_CRAGI, A0A8W8KX35_CRAGI	V3ZLP8_LOTGI
OG0000046	A0A8W8N1H0_CRAGI, A0A8W8MTT5_CRAGI, A0A8W8N4R1_CRAGI, K1QFQ0_CRAGI, A0A8W8MYN2_CRAGI	V4AZ15_LOTGI
OG0000047	A0A8W8MYN7_CRAGI, K1QNR4_CRAGI	V4AG06_LOTGI
OG0000048	K1R0H9_CRAGI, A0A8W8HU29_CRAGI, A0A8W8HTU2_CRAGI	V4BYI6_LOTGI
OG0000049	K1R770_CRAGI, A0A8W8IXU5_CRAGI	V3Z6R3_LOTGI
OG0000050	K1PGW7_CRAGI	V3ZSK0_LOTGI
OG0000051	A0A8W8N621_CRAGI, A0A8W8MXX7_CRAGI, K1QDG5_CRAGI	V4B5G4_LOTGI
OG0000052	A0A8W8IPJ6_CRAGI, K1PPR5_CRAGI	V3ZL15_LOTGI
OG0000053	K1R041_CRAGI, A0A8W8IW65_CRAGI	V4C5P1_LOTGI
OG0000054	A0A8W8K796_CRAGI, K1QIJ6_CRAGI, A0A8W8K4K0_CRAGI, A0A8W8KAS8_CRAGI	V3ZB50_LOTGI
OG0000055	A0A8W8M0S5_CRAGI, K1PJF6_CRAGI, A0A8W8M3U2_CRAGI, A0A8W8M2T1_CRAGI, K1PYP9_CRAGI	V4AQ16_LOTGI, V4ALV7_LOTGI
OG0000056	K1QEU8_CRAGI, A0A8W8MTZ3_CRAGI, A0A8W8MTY9_CRAGI	V4CL40_LOTGI
OG0000057	A0A8W8MW41_CRAGI, K1PP90_CRAGI	A0A0B6VI59_LOTGI, V3ZS59_LOTGI
OG0000058	A0A8W8N9G9_CRAGI, K1Q1H4_CRAGI	V4AG74_LOTGI
OG0000059	A0A8W8NAJ6_CRAGI, K1RC49_CRAGI	V4AG38_LOTGI
OG0000060	K1QS55_CRAGI	V4AMU9_LOTGI
OG0000061	K1QXF3_CRAGI	V4ALT1_LOTGI, A0A0B6VLJ9_LOTGI
OG0000062	K1P5F1_CRAGI, A0A8W8I834_CRAGI	V3ZRS6_LOTGI
OG0000063	K1PGT0_CRAGI, A0A8W8HTT0_CRAGI	V4B3K2_LOTGI
OG0000064	K1Q8M9_CRAGI, A0A8W8IBX2_CRAGI, A0A8W8IBQ2_CRAGI	V3ZSX8_LOTGI
OG0000065	A0A8W8IQU2_CRAGI, A0A8W8IPI1_CRAGI, K1R7X3_CRAGI	V4ALC7_LOTGI
OG0000066	A0A8W8L000_CRAGI, K1PVZ4_CRAGI	V3ZI41_LOTGI
OG0000067	K1QUT3_CRAGI, A0A8W8MTT0_CRAGI	V4BAI4_LOTGI
