Orthogroup	homeo_cgig	homeo_spha
OG0000000	A0A8W8NKQ5_CRAGI, A0A8W8NC56_CRAGI	A0A812EKG4_SEPPH
OG0000000	A0A8W8LME9_CRAGI, K1PTP4_CRAGI, A0A8W8LAX7_CRAGI, A0A8W8IPA2_CRAGI, K1Q3T5_CRAGI	A0A812B925_SEPPH
OG0000001	A0A8W8KTU7_CRAGI, A0A8W8KWH7_CRAGI, A0A8W8KVY4_CRAGI, A0A8W8KZP0_CRAGI, A0A8W8KTZ2_CRAGI, A0A8W8KTY2_CRAGI, K1RRF9_CRAGI, A0A8W8KTT7_CRAGI, A0A8W8KWH2_CRAGI, A0A8W8KZM6_CRAGI, A0A8W8KTV3_CRAGI, A0A8W8KTZ7_CRAGI, A0A8W8KVZ3_CRAGI, A0A8W8KVY9_CRAGI, A0A8W8KWI1_CRAGI, A0A8W8KTU2_CRAGI, A0A8W8KZN5_CRAGI, A0A8W8KTY7_CRAGI, A0A8W8KZN0_CRAGI	A0A812CSX7_SEPPH
OG0000002	A0A8W8JY31_CRAGI, K1RIX6_CRAGI	A0A812CHV2_SEPPH
OG0000002	K1QIR0_CRAGI, A0A8W8JTR1_CRAGI, A0A8W8JT33_CRAGI, A0A8W8JX80_CRAGI	A0A812CH23_SEPPH
OG0000003	K1RJL2_CRAGI, A0A8W8JYI5_CRAGI, A0A8W8JW62_CRAGI	A0A812BTC3_SEPPH
OG0000003	A0A8W8NGD8_CRAGI, A0A8W8N7T4_CRAGI, K1QCD5_CRAGI, A0A8W8NKP9_CRAGI	A0A812D295_SEPPH
OG0000004	K1QUB8_CRAGI	A0A812DX13_SEPPH
OG0000006	K1QSB6_CRAGI, A0A8W8IBN2_CRAGI, K1PKC2_CRAGI, K1Q1J3_CRAGI, A0A8W8L446_CRAGI	A0A812BPP8_SEPPH, A0A812BJL2_SEPPH
OG0000009	K1S2R0_CRAGI, A0A8W8IMV1_CRAGI, A0A8W8IM65_CRAGI, A0A8W8INQ7_CRAGI, K1QXJ5_CRAGI	A0A812EU87_SEPPH
OG0000010	A0A8W8L0Q8_CRAGI, K1QGS5_CRAGI	A0A812EIQ4_SEPPH
OG0000011	A0A8W8NKY1_CRAGI, K1QA73_CRAGI	A0A812BNP1_SEPPH
OG0000012	A0A8W8N8Z0_CRAGI, K1PNG1_CRAGI, K1PW38_CRAGI	A0A812B8U9_SEPPH, A0A812B9P4_SEPPH
OG0000016	A0A8W8LHX8_CRAGI, K1RE41_CRAGI, A0A8W8LGC0_CRAGI, A0A8W8LMC2_CRAGI	A0A812DQW3_SEPPH
OG0000019	A0A8W8MBS7_CRAGI, A0A8W8ML63_CRAGI, K1RYM7_CRAGI, A0A8W8MC90_CRAGI	A0A812E850_SEPPH
OG0000020	K1QLY6_CRAGI, A0A8W8IV11_CRAGI, A0A8W8ITK7_CRAGI, A0A8W8IVV5_CRAGI, A0A8W8ITN2_CRAGI, A0A8W8IX86_CRAGI	A0A812CVN2_SEPPH
OG0000021	A0A8W8KZY7_CRAGI, K1PZT1_CRAGI, A0A8W8KUA3_CRAGI, A0A8W8KU68_CRAGI	A0A812DH96_SEPPH, A0A812DH78_SEPPH
OG0000023	K1RMV0_CRAGI, A0A8W8MC14_CRAGI	A0A812AKM1_SEPPH
OG0000024	A0A8W8MYT7_CRAGI, A0A8W8N1P2_CRAGI, K1PZI6_CRAGI	A0A812EZS5_SEPPH
