#                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Pdum_DN89016_c1_g2_i1:601-1251     -            217 216563at33208        -            298   9.3e-32  108.1   0.0   1   1   1.8e-34   1.2e-31  107.7   0.0   160   295    30   194     4   197 0.79 -
Pdum_DN83493_c0_g2_i9:1856-2629    -            258 216563at33208        -            298   1.4e-19   68.2   0.0   1   2   5.7e-05     0.038   10.9   0.0   128   169     2    54     1    93 0.77 -
Pdum_DN83493_c0_g2_i9:1856-2629    -            258 216563at33208        -            298   1.4e-19   68.2   0.0   2   2   1.6e-18   1.1e-15   55.4   0.0   199   292   125   233   119   238 0.85 -
Pdum_DN83686_c0_g1_i3:552-1268     -            239 216563at33208        -            298   3.1e-14   50.6   0.0   1   1   5.9e-17     4e-14   50.2   0.0   149   287    31   197     2   215 0.80 -
Pdum_DN91515_c4_g1_i4:5775-5999    -             75 216563at33208        -            298   8.9e-11   39.3   0.2   1   1   1.4e-13   9.2e-11   39.2   0.2    24    90     3    75     1    75 0.86 -
Pdum_DN92916_c10_g1_i3:11904-12122 -             73 216563at33208        -            298   6.1e-07   26.7   0.2   1   1   1.1e-09     7e-07   26.4   0.2    28    90     2    69     1    71 0.91 -
Pdum_DN72336_c0_g1_i6:808-1620     -            271 216563at33208        -            298    0.0013   15.7   0.0   1   3      0.78   5.2e+02   -2.7   0.0   181   212    13    44     8    62 0.75 -
Pdum_DN72336_c0_g1_i6:808-1620     -            271 216563at33208        -            298    0.0013   15.7   0.0   2   3   0.00023      0.15    8.9   0.0   200   228   107   135    81   147 0.87 -
Pdum_DN72336_c0_g1_i6:808-1620     -            271 216563at33208        -            298    0.0013   15.7   0.0   3   3    0.0075         5    4.0   0.0   228   283   170   230   166   249 0.66 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /mnt/f/phylo/WORMS/busco_analysis/busco_downloads/lineages/metazoa_odb10/hmms/216563at33208.hmm
# Target file:     /mnt/f/phylo/WORMS/busco_analysis/metazoa_lineage_result/run_metazoa_odb10/metaeuk_output/initial_results/Platynereis_ref.eggnog_filter.nucl.fasta.modified.fas
# Option settings: hmmsearch --domtblout /mnt/f/phylo/WORMS/busco_analysis/metazoa_lineage_result/run_metazoa_odb10/hmmer_output/initial_run_results/216563at33208.out --cpu 1 /mnt/f/phylo/WORMS/busco_analysis/busco_downloads/lineages/metazoa_odb10/hmms/216563at33208.hmm /mnt/f/phylo/WORMS/busco_analysis/metazoa_lineage_result/run_metazoa_odb10/metaeuk_output/initial_results/Platynereis_ref.eggnog_filter.nucl.fasta.modified.fas 
# Current dir:     /mnt/f/phylo/WORMS/busco_analysis
# Date:            Sun Mar 12 20:41:46 2023
# [ok]
