Orthogroup	homeo_pele	homeo_pdum
OG0000001	Pele_DN156383_c1_g1_i10.p1^, Pele_DN134842_c0_g2_i2.p1^	Pdum_DN87249_c0_g1_i9.p1^
OG0000002	Pele_DN131147_c0_g1_i5.p1^	Pdum_DN82374_c0_g2_i1.p1^, Pdum_DN69195_c0_g1_i2.p1^
OG0000003	Pele_DN141821_c0_g1_i1.p1^	Pdum_DN77615_c1_g1_i2.p1^
OG0000003	Pele_DN146984_c1_g2_i4.p1^	Pdum_DN83553_c0_g1_i4.p1^
OG0000004	Pele_DN149662_c3_g3_i1.p1^	Pdum_DN76380_c0_g1_i2.p1^
OG0000006	Pele_DN144533_c0_g2_i7.p1^	Pdum_DN79817_c0_g1_i1.p1^
OG0000006	Pele_DN148207_c5_g3_i3.p1^	Pdum_DN88717_c4_g1_i3.p1^
OG0000007	Pele_DN145787_c0_g1_i7.p1^	Pdum_DN86128_c0_g1_i2.p1^
OG0000007	Pele_DN164572_c3_g2_i2.p1^	Pdum_DN87433_c1_g1_i2.p1^
OG0000009	Pele_DN143640_c0_g2_i1.p1^, Pele_DN158688_c0_g2_i1.p1^	Pdum_DN83852_c0_g2_i4.p1^
OG0000010	Pele_DN134626_c0_g2_i1.p1^	Pdum_DN83264_c1_g2_i1.p1^
OG0000012	Pele_DN160581_c0_g1_i5.p1^	Pdum_DN83273_c0_g1_i5.p1^
OG0000013	Pele_DN155309_c0_g1_i4.p1^	Pdum_DN87922_c0_g1_i6.p1^, Pdum_DN92432_c4_g1_i1.p1^
OG0000014	Pele_DN159040_c0_g1_i2.p1^	Pdum_DN71779_c0_g1_i1.p1^
OG0000016	Pele_DN143372_c0_g1_i3.p1^	Pdum_DN81015_c0_g1_i6.p1^
OG0000017	Pele_DN149768_c2_g3_i1.p1^	Pdum_DN75322_c0_g2_i2.p1^
OG0000019	Pele_DN165661_c1_g4_i3.p1^	Pdum_DN84079_c0_g1_i3.p1^, Pdum_DN72039_c3_g4_i2.p1^, Pdum_DN86613_c0_g1_i2.p1^
OG0000022	Pele_DN135596_c3_g1_i5.p1^	Pdum_DN68407_c0_g1_i7.p1^
OG0000023	Pele_DN155499_c1_g2_i7.p1^	Pdum_DN89526_c4_g1_i2.p1^
OG0000024	Pele_DN143168_c0_g1_i1.p1^	Pdum_DN92058_c1_g1_i2.p1^
OG0000025	Pele_DN163341_c0_g7_i2.p1^	Pdum_DN66937_c0_g1_i1.p1^
OG0000027	Pele_DN134969_c3_g2_i5.p1^	Pdum_DN90853_c3_g1_i5.p1^
OG0000030	Pele_DN163654_c0_g2_i7.p1^	Pdum_DN79894_c0_g1_i15.p1^
OG0000031	Pele_DN161508_c2_g1_i2.p1^	Pdum_DN83076_c0_g2_i1.p1^
OG0000032	Pele_DN139229_c3_g1_i1.p1^	Pdum_DN67112_c0_g1_i1.p1^
OG0000034	Pele_DN156788_c0_g1_i2.p1^	Pdum_DN75781_c0_g1_i2.p1^
OG0000036	Pele_DN122504_c0_g1_i1.p1^	Pdum_DN85739_c0_g1_i1.p1^
OG0000037	Pele_DN161761_c0_g3_i2.p1^	Pdum_DN50323_c0_g1_i1.p1^, Pdum_DN91429_c7_g4_i1.p1^
OG0000042	Pele_DN144074_c0_g1_i7.p1^	Pdum_DN83362_c0_g1_i12.p1^
OG0000047	Pele_DN141396_c6_g3_i8.p1^	Pdum_DN84301_c0_g1_i2.p1^
OG0000048	Pele_DN155681_c5_g2_i1.p1^	Pdum_DN83667_c1_g1_i9.p1^
OG0000049	Pele_DN160834_c0_g1_i5.p1^	Pdum_DN74981_c0_g1_i2.p1^
OG0000052	Pele_DN150624_c0_g4_i3.p1^	Pdum_DN81108_c0_g1_i3.p1^
OG0000053	Pele_DN154574_c0_g1_i7.p1^	Pdum_DN72621_c0_g1_i2.p1^
OG0000058	Pele_DN153039_c2_g3_i4.p1^	Pdum_DN80655_c0_g3_i2.p1^
OG0000073	Pele_DN163481_c0_g2_i5.p1^	Pdum_DN66869_c0_g1_i1.p1^
OG0000074	Pele_DN145271_c1_g2_i2.p1^	Pdum_DN87519_c0_g1_i4.p1^
OG0000080	Pele_DN150856_c1_g1_i10.p1^	Pdum_DN74284_c0_g1_i3.p1^
OG0000081	Pele_DN151192_c1_g2_i4.p1^, Pele_DN103616_c0_g1_i1.p1^	Pdum_DN91247_c6_g1_i5.p1^
