Orthogroup	homeo_lgig	homeo_ctel
OG0000000	V4BRR7_LOTGI, V3ZJY3_LOTGI	R7UG11_CAPTE, R7U9H9_CAPTE
OG0000000	V3ZQ03_LOTGI	R7TK36_CAPTE
OG0000000	V4B1Z7_LOTGI	R7VJE5_CAPTE
OG0000000	V4ARX4_LOTGI	R7UN25_CAPTE
OG0000000	V3Z594_LOTGI	R7VLA1_CAPTE
OG0000000	V3ZUI4_LOTGI	R7T3T5_CAPTE
OG0000001	V4BBQ6_LOTGI	R7T8B4_CAPTE
OG0000002	V3ZPC7_LOTGI	R7UAD2_CAPTE
OG0000002	V3ZF17_LOTGI	R7U8T2_CAPTE
OG0000002	V3YXA5_LOTGI	R7UAD6_CAPTE
OG0000003	A0A0B6VNG5_LOTGI, V4AMZ8_LOTGI	R7TKD0_CAPTE, A1XC54_CAPTE
OG0000003	V3ZQV3_LOTGI	R7UF19_CAPTE
OG0000004	V3ZUB0_LOTGI	F9W2V7_CAPTE
OG0000004	V4AHM7_LOTGI	R7TJR3_CAPTE
OG0000004	V3Z5W5_LOTGI	R7VF41_CAPTE, R7VL20_CAPTE, R7VKC4_CAPTE
OG0000006	V4AF73_LOTGI	R7TSQ2_CAPTE
OG0000007	V4AG11_LOTGI	R7TDU7_CAPTE, B6RFX9_CAPTE
OG0000007	V4CL38_LOTGI	B6RFY0_CAPTE
OG0000008	A0A0B6VH88_LOTGI, V4A346_LOTGI	R7VB52_CAPTE
OG0000009	V3ZVS2_LOTGI	R7V9E7_CAPTE
OG0000009	V3ZL81_LOTGI	R7V8E6_CAPTE
OG0000010	V4BUI5_LOTGI	R7TEF8_CAPTE
OG0000010	V3ZMY7_LOTGI	R7T8A8_CAPTE
OG0000011	V3ZS97_LOTGI	A6XFC4_CAPTE, I2CHN7_CAPTE, I2CHN6_CAPTE, R7UJW8_CAPTE
OG0000012	V3ZYQ4_LOTGI, V4A376_LOTGI	R7T5Y1_CAPTE
OG0000013	V4BAL1_LOTGI	B6RFX8_CAPTE
OG0000013	V4AZ19_LOTGI	R7TDR8_CAPTE, B6RFY3_CAPTE
OG0000014	V3ZFW3_LOTGI	R7ULV8_CAPTE, C4MK38_CAPTE, C4MK39_CAPTE, R7UKD7_CAPTE
OG0000015	V4CK27_LOTGI, V4AEW6_LOTGI, V4AYB9_LOTGI	R7T846_CAPTE, R7TFH5_CAPTE
OG0000016	V4AKS9_LOTGI, A0A0B6VJM6_LOTGI, V4CQS4_LOTGI	R7UF46_CAPTE
OG0000017	V4CL34_LOTGI	R7TLA4_CAPTE, B6RFX6_CAPTE
OG0000020	V3ZZF5_LOTGI	R7TTR6_CAPTE, C4MK41_CAPTE, R7TT53_CAPTE
OG0000021	V4BGE9_LOTGI, A0A0B6VLM4_LOTGI	R7TTU8_CAPTE, R7U050_CAPTE
OG0000022	V4BA79_LOTGI, A0A0B6VH93_LOTGI	R7TPZ8_CAPTE
OG0000023	V4BHE9_LOTGI	R7VCA4_CAPTE
OG0000024	V4BAL6_LOTGI	B6RFY1_CAPTE, R7UM68_CAPTE
OG0000025	V4AG18_LOTGI	R7UVI0_CAPTE, R7UP28_CAPTE
OG0000026	V4A848_LOTGI	R7UC46_CAPTE
OG0000031	A0A0B6VI83_LOTGI, V3ZSX3_LOTGI	R7TFZ7_CAPTE
OG0000032	B6SD85_LOTGI, V3Z534_LOTGI, A0A0B6VJK7_LOTGI	R7TUB2_CAPTE
OG0000033	V3YX15_LOTGI	C4MLF0_CAPTE, R7T8C3_CAPTE, R7T4E3_CAPTE
OG0000034	V4ACI6_LOTGI	C4MLF3_CAPTE, R7UCX5_CAPTE
OG0000035	V3ZZC7_LOTGI, A0A0B6VNI7_LOTGI	R7UAK3_CAPTE, R7U2Q3_CAPTE, R7UAU5_CAPTE
OG0000036	V4CHA2_LOTGI	R7U2A3_CAPTE
OG0000037	V4AJI3_LOTGI	R7UTJ6_CAPTE
OG0000038	V4BLD9_LOTGI	R7TQQ6_CAPTE
OG0000040	A0A0B6VH87_LOTGI, V4B9I8_LOTGI	R7TU37_CAPTE
OG0000041	A0A0B6VNG0_LOTGI, V4ACH7_LOTGI	R7TL21_CAPTE
OG0000042	V4A7Q4_LOTGI	R7TD58_CAPTE, C4MK42_CAPTE
OG0000044	A0A0B6VLK3_LOTGI, V3ZXV0_LOTGI	R7T4R6_CAPTE
OG0000045	V4B4D7_LOTGI, V3ZLP8_LOTGI	R7TXI6_CAPTE, Q2FBJ0_CAPTE
OG0000046	V4AZ15_LOTGI	R7TK21_CAPTE, B6RFX4_CAPTE
OG0000047	V4AG06_LOTGI	R7TDU3_CAPTE, B6RFX5_CAPTE, R7TDR5_CAPTE
OG0000048	V4BYI6_LOTGI	C4MK37_CAPTE, R7TY93_CAPTE
OG0000049	V3Z6R3_LOTGI	R7U019_CAPTE
OG0000050	V3ZSK0_LOTGI	Q2FBI9_CAPTE, R7U4M8_CAPTE, R7V8P0_CAPTE
OG0000051	V4B5G4_LOTGI	R7UP51_CAPTE
OG0000052	V3ZL15_LOTGI	R7TCH5_CAPTE, C4MLF2_CAPTE
OG0000053	V4C5P1_LOTGI	C4MLF1_CAPTE, R7TTZ4_CAPTE
OG0000054	V3ZB50_LOTGI	R7UMJ1_CAPTE
OG0000056	V4CL40_LOTGI	R7UAI4_CAPTE, B6RFY2_CAPTE
OG0000057	A0A0B6VI59_LOTGI, V3ZS59_LOTGI	R7TGN1_CAPTE, R7TGD7_CAPTE
OG0000058	V4AZ98_LOTGI, V4AG74_LOTGI	R7UC57_CAPTE
OG0000059	V4AG38_LOTGI	R7UNJ2_CAPTE
OG0000060	V4AMU9_LOTGI	R7UDF2_CAPTE, C4MK43_CAPTE
OG0000061	V4ALT1_LOTGI, A0A0B6VLJ9_LOTGI	R7TJG0_CAPTE
OG0000062	V3ZRS6_LOTGI	R7UN60_CAPTE, R7UWA1_CAPTE
OG0000063	V4B3K2_LOTGI	R7TI74_CAPTE, R7VCX8_CAPTE
OG0000064	V3ZSX8_LOTGI	Q09VU4_CAPTE, R7TJF1_CAPTE
OG0000065	V4ALC7_LOTGI	R7UAJ4_CAPTE
OG0000066	V3ZI41_LOTGI	Q2FA45_CAPTE, R7TBA9_CAPTE
OG0000067	V4BAI4_LOTGI	R7TLA0_CAPTE, B6RFX3_CAPTE
OG0000068	V4B622_LOTGI	B6RFX7_CAPTE, R7TK28_CAPTE
OG0000069	V4AEL3_LOTGI	R7UDP9_CAPTE
OG0000070	V3ZEA7_LOTGI	R7TC57_CAPTE
OG0000071	V4APN7_LOTGI	R7TTE4_CAPTE
OG0000072	V3ZS89_LOTGI	R7UX36_CAPTE, R7TQE4_CAPTE, R7UP44_CAPTE
OG0000073	V3ZY21_LOTGI	R7UK02_CAPTE
OG0000074	V4CJP9_LOTGI	R7VJ71_CAPTE
OG0000075	V4A086_LOTGI	R7TRL6_CAPTE
OG0000076	V4AQ81_LOTGI	R7U6M3_CAPTE
OG0000077	V4BFC9_LOTGI	R7UUL8_CAPTE
OG0000078	V3ZXQ0_LOTGI	R7UZM9_CAPTE
OG0000079	V4C954_LOTGI	C4MLE9_CAPTE
