Orthogroup	homeo_lgig	homeo_ofus
OG0000000	V4BRR7_LOTGI, V3ZJY3_LOTGI	A0A8J1UID4_OWEFU
OG0000000	V3ZQ03_LOTGI	A0A8J1Y3J5_OWEFU
OG0000000	V4B1Z7_LOTGI	A0A8J1UPU6_OWEFU
OG0000000	V4ARX4_LOTGI	A0A8J1TH95_OWEFU
OG0000000	V3Z594_LOTGI	A0A8J1UBP8_OWEFU, A0A8S4NIW6_OWEFU
OG0000000	V3ZUI4_LOTGI	A0A8S4P4P8_OWEFU
OG0000001	V4BBQ6_LOTGI	A0A8S4NYJ5_OWEFU, A0A8S4P1R3_OWEFU, A0A8S4P2P7_OWEFU, A0A8J1XTI5_OWEFU, A0A8S4P221_OWEFU, A0A8J1XV20_OWEFU, A0A8S4P2I1_OWEFU
OG0000002	V3ZPC7_LOTGI, V3ZF17_LOTGI, V3ZPD1_LOTGI, V3YXA5_LOTGI	A0A8J1XR32_OWEFU
OG0000003	A0A0B6VNG5_LOTGI, V4AMZ8_LOTGI	A0A2I6QBP6_OWEFU, A0A8S4N2Y9_OWEFU, A0A8S4N1Z8_OWEFU
OG0000003	V3ZQV3_LOTGI	A0A8S4NWV7_OWEFU, A0A8S4NW90_OWEFU, A0A8S4NTX5_OWEFU, A0A8S4NZG7_OWEFU, A0A8S4NVX6_OWEFU, A0A2I6QBP1_OWEFU
OG0000004	V3ZUB0_LOTGI	A0A8J1ULN0_OWEFU
OG0000004	V4AHM7_LOTGI	A0A8S4PHK6_OWEFU, A0A8J1UN28_OWEFU
OG0000004	V3Z5W5_LOTGI	A0A8J1U7D2_OWEFU, A0A165US65_OWEFU
OG0000006	V4AF73_LOTGI	A0A8J1U651_OWEFU
OG0000007	V4AG11_LOTGI	A0A8S4MXX6_OWEFU
OG0000007	V4CL38_LOTGI	A0A8J1Y090_OWEFU
OG0000008	A0A0B6VH88_LOTGI, V4A346_LOTGI	A0A8S4Q800_OWEFU, A0A165USE9_OWEFU, A0A8J1XWV6_OWEFU
OG0000009	V3ZVS2_LOTGI	A0A8J1T4P3_OWEFU, A0A8J1T4X5_OWEFU
OG0000010	V4BUI5_LOTGI	A0A8J1U072_OWEFU
OG0000010	V3ZMY7_LOTGI	A0A8J1TY94_OWEFU
OG0000011	V3ZS97_LOTGI	A0A165US84_OWEFU
OG0000012	V3ZYQ4_LOTGI, V4A376_LOTGI	A0A8J1TNT9_OWEFU, A0A8S4N3Y9_OWEFU
OG0000013	V4BAL1_LOTGI	A0A8J1UD53_OWEFU
OG0000013	V4AZ19_LOTGI	A0A8J1UCV7_OWEFU
OG0000014	V3ZFW3_LOTGI	A0A8J1XXX6_OWEFU, A0A2I6QBN3_OWEFU, A0A8J1XW66_OWEFU, A0A8J1U7M4_OWEFU
OG0000015	V4CK27_LOTGI, V4AEW6_LOTGI	A0A8J1XFN8_OWEFU, A0A2I6QBP3_OWEFU
OG0000015	V4AYB9_LOTGI	A0A2I6QBN9_OWEFU
OG0000016	V4AKS9_LOTGI, A0A0B6VJM6_LOTGI	A0A8J1UHP7_OWEFU, A0A8J1UEH4_OWEFU
OG0000016	V4CQS4_LOTGI	A0A8J1Y336_OWEFU
OG0000017	V4CL34_LOTGI	A0A8J1U832_OWEFU
OG0000020	V3ZZF5_LOTGI	A0A8J1T614_OWEFU
OG0000021	V4BGE9_LOTGI, A0A0B6VLM4_LOTGI	A0A8S4P241_OWEFU, A0A8J1XWF8_OWEFU
OG0000022	V4BA79_LOTGI, A0A0B6VH93_LOTGI	A0A8J1TZ61_OWEFU
OG0000023	V4BHE9_LOTGI	A0A8J1Y3W8_OWEFU, A0A8J1UKC6_OWEFU, A0A8J1UHF5_OWEFU, A0A8S4P263_OWEFU, A0A8J1UG53_OWEFU
OG0000024	V4BAL6_LOTGI	A0A8J1UDK6_OWEFU, A0A8J1UDF1_OWEFU, A0A8S4MYZ0_OWEFU, A0A8J1U9I4_OWEFU
OG0000025	V4AG18_LOTGI	A0A8J1XR59_OWEFU
OG0000026	V4A848_LOTGI	A0A8J1UI38_OWEFU
OG0000027	V4BFH7_LOTGI	A0A8J1XPB1_OWEFU, A0A8J1XMG3_OWEFU, A0A8S4MZR0_OWEFU, A0A8S4N056_OWEFU, A0A8S4N103_OWEFU, A0A8J1XPS3_OWEFU, A0A8S4N1A7_OWEFU
OG0000031	A0A0B6VI83_LOTGI, V3ZSX3_LOTGI	A0A8J1TXC5_OWEFU, A0A8J1XUY2_OWEFU, A0A8J1TVW9_OWEFU
OG0000032	B6SD85_LOTGI, V3Z534_LOTGI, A0A0B6VJK7_LOTGI	A0A8J1UPA1_OWEFU, A0A166GC00_OWEFU, A0A8J1UL28_OWEFU
OG0000033	V3YX15_LOTGI	A0A8J1T993_OWEFU, A0A8S4NPX3_OWEFU
OG0000034	V4ACI6_LOTGI	A0A8J1T830_OWEFU, A0A8J1T7B9_OWEFU
OG0000035	V3ZZC7_LOTGI, A0A0B6VNI7_LOTGI	A0A8S4P1L7_OWEFU, A0A8J1XVI0_OWEFU
OG0000036	V4CHA2_LOTGI	A0A8J1TLL2_OWEFU, A0A8J1XNQ9_OWEFU
OG0000037	V4AJI3_LOTGI	A0A8S4PRS0_OWEFU, A0A8J1TZ22_OWEFU
OG0000038	V4BLD9_LOTGI	A0A8J1TIC1_OWEFU
OG0000040	A0A0B6VH87_LOTGI, V4B9I8_LOTGI	A0A8J1U2Q5_OWEFU, A0A165USH4_OWEFU
OG0000041	A0A0B6VNG0_LOTGI, V4ACH7_LOTGI	A0A8J1TUD3_OWEFU
OG0000042	V4A7Q4_LOTGI	A0A8J1XEH4_OWEFU
OG0000043	V3YXS2_LOTGI	A0A8J1Y7V5_OWEFU
OG0000044	A0A0B6VLK3_LOTGI, V3ZXV0_LOTGI	A0A8S4PLQ3_OWEFU, A0A8J1UNW8_OWEFU
OG0000045	V4B4D7_LOTGI, V3ZLP8_LOTGI	A0A8J1XM42_OWEFU, A0A165USC6_OWEFU
OG0000046	V4AZ15_LOTGI	A0A8J1U8H8_OWEFU
OG0000047	V4AG06_LOTGI	A0A8J1U9N6_OWEFU
OG0000048	V4BYI6_LOTGI	A0A165US97_OWEFU
OG0000049	V3Z6R3_LOTGI	A0A8J1XHJ6_OWEFU, A0A8S4NSB6_OWEFU
OG0000051	V4B5G4_LOTGI	A0A8J1XQF8_OWEFU, A0A8S4N0G9_OWEFU
OG0000052	V3ZL15_LOTGI	A0A8J1T5Z3_OWEFU
OG0000053	V4C5P1_LOTGI	A0A8J1XFX1_OWEFU
OG0000054	V3ZB50_LOTGI	A0A8J1TND9_OWEFU
OG0000056	V4CL40_LOTGI	A0A8S4N570_OWEFU, A0A8J1TQI2_OWEFU
OG0000057	A0A0B6VI59_LOTGI, V3ZS59_LOTGI	A0A8J1UAP0_OWEFU
OG0000058	V4AZ98_LOTGI, V4AG74_LOTGI	A0A8J1UWG1_OWEFU
OG0000059	V4AG38_LOTGI	A0A8J1XPH2_OWEFU, A0A2I6EEG1_OWEFU, A0A8S4N1Q5_OWEFU
OG0000060	V4AMU9_LOTGI	A0A8J1XFR7_OWEFU
OG0000061	V4ALT1_LOTGI, A0A0B6VLJ9_LOTGI	A0A8S4PTX5_OWEFU, A0A8J1TXI9_OWEFU
OG0000062	V3ZRS6_LOTGI	A0A8J1UKY0_OWEFU, A0A8J1Y520_OWEFU
OG0000063	V4B3K2_LOTGI	A0A8S4PD62_OWEFU, A0A8J1UM84_OWEFU
OG0000064	V3ZSX8_LOTGI	A0A8J1TVS4_OWEFU
OG0000065	V4ALC7_LOTGI	A0A8J1Y2F5_OWEFU, A0A8S4NKP5_OWEFU
OG0000066	V3ZI41_LOTGI	A0A8J1TJ83_OWEFU
OG0000067	V4BAI4_LOTGI	A0A8J1Y1U3_OWEFU
OG0000068	V4B622_LOTGI	A0A8J1UAL6_OWEFU
OG0000069	V4AEL3_LOTGI	A0A8J1U9G2_OWEFU
OG0000070	V3ZEA7_LOTGI	A0A8S4P1Z9_OWEFU, A0A8J1TXW6_OWEFU
OG0000071	V4APN7_LOTGI	A0A8J1Y043_OWEFU
OG0000072	V3ZS89_LOTGI	A0A8J1TPC4_OWEFU, A0A8S4N1D9_OWEFU
OG0000073	V3ZY21_LOTGI	A0A8J1XJI6_OWEFU
OG0000074	V4CJP9_LOTGI	A0A8J1Y3X5_OWEFU
OG0000075	V4A086_LOTGI	A0A8J1XWL1_OWEFU
OG0000076	V4AQ81_LOTGI	A0A8J1XHX7_OWEFU, A0A8S4NQ05_OWEFU
OG0000077	V4BFC9_LOTGI	A0A8S4N0Y2_OWEFU, A0A8J1U7C5_OWEFU
OG0000078	V3ZXQ0_LOTGI	A0A8J1TWH5_OWEFU
OG0000079	V4C954_LOTGI	A0A2I6QBN1_OWEFU
OG0000080	V4A4Z2_LOTGI	A0A8J1XVX0_OWEFU
OG0000082	V3ZWV3_LOTGI	A0A8J1UJ17_OWEFU
OG0000083	V4AT90_LOTGI	A0A8J1T6P4_OWEFU
