Orthogroup	homeo_lgig	homeo_cgig
OG0000000	V3ZJY3_LOTGI	A0A8W8NKQ5_CRAGI, A0A8W8NC56_CRAGI
OG0000000	V4B1Z7_LOTGI	A0A8W8LME9_CRAGI, K1PTP4_CRAGI
OG0000000	V4ARX4_LOTGI	A0A8W8LAX7_CRAGI
OG0000000	V3Z594_LOTGI	A0A8W8IPA2_CRAGI, K1Q3T5_CRAGI
OG0000001	V4BBQ6_LOTGI	A0A8W8KTU7_CRAGI, A0A8W8KWH7_CRAGI, A0A8W8KVY4_CRAGI, A0A8W8KZP0_CRAGI, A0A8W8KTZ2_CRAGI, A0A8W8KTY2_CRAGI, K1RRF9_CRAGI, A0A8W8KTT7_CRAGI, A0A8W8KWH2_CRAGI, A0A8W8KZM6_CRAGI, A0A8W8KTV3_CRAGI, A0A8W8KTZ7_CRAGI, A0A8W8KVZ3_CRAGI, A0A8W8KVY9_CRAGI, A0A8W8KWI1_CRAGI, A0A8W8KTU2_CRAGI, A0A8W8KZN5_CRAGI, A0A8W8KTY7_CRAGI, A0A8W8KZN0_CRAGI
OG0000002	V3ZPC7_LOTGI	K1QIR0_CRAGI, A0A8W8JTR1_CRAGI, A0A8W8JT33_CRAGI, A0A8W8JX80_CRAGI
OG0000002	V3YXA5_LOTGI	K1Q4X5_CRAGI, A0A8W8KJ06_CRAGI
OG0000003	A0A0B6VNG5_LOTGI, V4AMZ8_LOTGI	K1RJL2_CRAGI, A0A8W8JYI5_CRAGI, A0A8W8JW62_CRAGI
OG0000003	V3ZQV3_LOTGI	A0A8W8NGD8_CRAGI, A0A8W8N7T4_CRAGI, K1QCD5_CRAGI, A0A8W8NKP9_CRAGI
OG0000004	V3ZUB0_LOTGI	A0A8W8IAI7_CRAGI, A0A8W8IAW9_CRAGI, K1PJH4_CRAGI
OG0000004	V4AHM7_LOTGI	K1RZS7_CRAGI, A0A8W8I5K6_CRAGI, A0A8W8I4C7_CRAGI, A0A8W8I588_CRAGI
OG0000004	V3Z5W5_LOTGI	K1QUB8_CRAGI
OG0000006	V4AF73_LOTGI	K1PKC2_CRAGI
OG0000007	V4AG11_LOTGI	A0A8W8MTX2_CRAGI, A0A8W8N115_CRAGI, A0A8W8N1M3_CRAGI, K1QW78_CRAGI
OG0000007	V4CL38_LOTGI	K1RXD0_CRAGI
OG0000008	A0A0B6VH88_LOTGI, V4A346_LOTGI	A0A8W8ID58_CRAGI, A0A8W8IDF2_CRAGI, K1R2U9_CRAGI, A0A8W8IBL0_CRAGI, A0A8W8ID51_CRAGI
OG0000009	V3ZVS2_LOTGI	K1S2R0_CRAGI, A0A8W8IMV1_CRAGI, A0A8W8IM65_CRAGI, A0A8W8INQ7_CRAGI, K1QXJ5_CRAGI
OG0000010	V4BUI5_LOTGI	A0A8W8L0Q8_CRAGI, K1QGS5_CRAGI
OG0000010	V3ZMY7_LOTGI	K1R2K0_CRAGI, A0A8W8KX13_CRAGI
OG0000011	V3ZS97_LOTGI	K1PAC6_CRAGI, A0A8W8NHM8_CRAGI, A0A8W8NPX1_CRAGI
