Orthogroup	homeo_ofus	homeo_lgig
OG0000000	A0A8J1UID4_OWEFU	V4BRR7_LOTGI, V3ZJY3_LOTGI
OG0000000	A0A8J1Y3J5_OWEFU	V3ZQ03_LOTGI
OG0000000	A0A8J1UPU6_OWEFU	V4B1Z7_LOTGI
OG0000000	A0A8J1TH95_OWEFU	V4ARX4_LOTGI
OG0000000	A0A8J1UBP8_OWEFU, A0A8S4NIW6_OWEFU	V3Z594_LOTGI
OG0000000	A0A8S4P4P8_OWEFU	V3ZUI4_LOTGI
OG0000001	A0A8S4NYJ5_OWEFU, A0A8S4P1R3_OWEFU, A0A8S4P2P7_OWEFU, A0A8J1XTI5_OWEFU, A0A8S4P221_OWEFU, A0A8J1XV20_OWEFU, A0A8S4P2I1_OWEFU	V4BBQ6_LOTGI
OG0000002	A0A8J1XR32_OWEFU	V3ZPC7_LOTGI, V3ZF17_LOTGI, V3ZPD1_LOTGI, V3YXA5_LOTGI
OG0000003	A0A2I6QBP6_OWEFU, A0A8S4N2Y9_OWEFU, A0A8S4N1Z8_OWEFU	A0A0B6VNG5_LOTGI, V4AMZ8_LOTGI
OG0000003	A0A8S4NWV7_OWEFU, A0A8S4NW90_OWEFU, A0A8S4NTX5_OWEFU, A0A8S4NZG7_OWEFU, A0A8S4NVX6_OWEFU, A0A2I6QBP1_OWEFU	V3ZQV3_LOTGI
OG0000004	A0A8J1ULN0_OWEFU	V3ZUB0_LOTGI
OG0000004	A0A8S4PHK6_OWEFU, A0A8J1UN28_OWEFU	V4AHM7_LOTGI
OG0000004	A0A8J1U7D2_OWEFU, A0A165US65_OWEFU	V3Z5W5_LOTGI
OG0000006	A0A8J1U651_OWEFU	V4AF73_LOTGI
OG0000007	A0A8S4MXX6_OWEFU	V4AG11_LOTGI
OG0000007	A0A8J1Y090_OWEFU	V4CL38_LOTGI
OG0000008	A0A8S4Q800_OWEFU, A0A165USE9_OWEFU, A0A8J1XWV6_OWEFU	A0A0B6VH88_LOTGI, V4A346_LOTGI
OG0000009	A0A8J1T4P3_OWEFU, A0A8J1T4X5_OWEFU	V3ZVS2_LOTGI
OG0000010	A0A8J1U072_OWEFU	V4BUI5_LOTGI
OG0000010	A0A8J1TY94_OWEFU	V3ZMY7_LOTGI
OG0000011	A0A165US84_OWEFU	V3ZS97_LOTGI
OG0000012	A0A8J1TNT9_OWEFU, A0A8S4N3Y9_OWEFU	V3ZYQ4_LOTGI, V4A376_LOTGI
OG0000013	A0A8J1UD53_OWEFU	V4BAL1_LOTGI
OG0000013	A0A8J1UCV7_OWEFU	V4AZ19_LOTGI
OG0000014	A0A8J1XXX6_OWEFU, A0A2I6QBN3_OWEFU, A0A8J1XW66_OWEFU, A0A8J1U7M4_OWEFU	V3ZFW3_LOTGI
OG0000015	A0A8J1XFN8_OWEFU, A0A2I6QBP3_OWEFU	V4CK27_LOTGI, V4AEW6_LOTGI
OG0000015	A0A2I6QBN9_OWEFU	V4AYB9_LOTGI
OG0000016	A0A8J1UHP7_OWEFU, A0A8J1UEH4_OWEFU	V4AKS9_LOTGI, A0A0B6VJM6_LOTGI
OG0000016	A0A8J1Y336_OWEFU	V4CQS4_LOTGI
OG0000017	A0A8J1U832_OWEFU	V4CL34_LOTGI
OG0000020	A0A8J1T614_OWEFU	V3ZZF5_LOTGI
OG0000021	A0A8S4P241_OWEFU, A0A8J1XWF8_OWEFU	V4BGE9_LOTGI, A0A0B6VLM4_LOTGI
OG0000022	A0A8J1TZ61_OWEFU	V4BA79_LOTGI, A0A0B6VH93_LOTGI
OG0000023	A0A8J1Y3W8_OWEFU, A0A8J1UKC6_OWEFU, A0A8J1UHF5_OWEFU, A0A8S4P263_OWEFU, A0A8J1UG53_OWEFU	V4BHE9_LOTGI
OG0000024	A0A8J1UDK6_OWEFU, A0A8J1UDF1_OWEFU, A0A8S4MYZ0_OWEFU, A0A8J1U9I4_OWEFU	V4BAL6_LOTGI
OG0000025	A0A8J1XR59_OWEFU	V4AG18_LOTGI
OG0000026	A0A8J1UI38_OWEFU	V4A848_LOTGI
OG0000027	A0A8J1XPB1_OWEFU, A0A8J1XMG3_OWEFU, A0A8S4MZR0_OWEFU, A0A8S4N056_OWEFU, A0A8S4N103_OWEFU, A0A8J1XPS3_OWEFU, A0A8S4N1A7_OWEFU	V4BFH7_LOTGI
OG0000031	A0A8J1TXC5_OWEFU, A0A8J1XUY2_OWEFU, A0A8J1TVW9_OWEFU	A0A0B6VI83_LOTGI, V3ZSX3_LOTGI
OG0000032	A0A8J1UPA1_OWEFU, A0A166GC00_OWEFU, A0A8J1UL28_OWEFU	B6SD85_LOTGI, V3Z534_LOTGI, A0A0B6VJK7_LOTGI
OG0000033	A0A8J1T993_OWEFU, A0A8S4NPX3_OWEFU	V3YX15_LOTGI
OG0000034	A0A8J1T830_OWEFU, A0A8J1T7B9_OWEFU	V4ACI6_LOTGI
OG0000035	A0A8S4P1L7_OWEFU, A0A8J1XVI0_OWEFU	V3ZZC7_LOTGI, A0A0B6VNI7_LOTGI
OG0000036	A0A8J1TLL2_OWEFU, A0A8J1XNQ9_OWEFU	V4CHA2_LOTGI
OG0000037	A0A8S4PRS0_OWEFU, A0A8J1TZ22_OWEFU	V4AJI3_LOTGI
OG0000038	A0A8J1TIC1_OWEFU	V4BLD9_LOTGI
OG0000040	A0A8J1U2Q5_OWEFU, A0A165USH4_OWEFU	A0A0B6VH87_LOTGI, V4B9I8_LOTGI
OG0000041	A0A8J1TUD3_OWEFU	A0A0B6VNG0_LOTGI, V4ACH7_LOTGI
OG0000042	A0A8J1XEH4_OWEFU	V4A7Q4_LOTGI
OG0000043	A0A8J1Y7V5_OWEFU	V3YXS2_LOTGI
OG0000044	A0A8S4PLQ3_OWEFU, A0A8J1UNW8_OWEFU	A0A0B6VLK3_LOTGI, V3ZXV0_LOTGI
OG0000045	A0A8J1XM42_OWEFU, A0A165USC6_OWEFU	V4B4D7_LOTGI, V3ZLP8_LOTGI
OG0000046	A0A8J1U8H8_OWEFU	V4AZ15_LOTGI
OG0000047	A0A8J1U9N6_OWEFU	V4AG06_LOTGI
OG0000048	A0A165US97_OWEFU	V4BYI6_LOTGI
OG0000049	A0A8J1XHJ6_OWEFU, A0A8S4NSB6_OWEFU	V3Z6R3_LOTGI
OG0000051	A0A8J1XQF8_OWEFU, A0A8S4N0G9_OWEFU	V4B5G4_LOTGI
OG0000052	A0A8J1T5Z3_OWEFU	V3ZL15_LOTGI
OG0000053	A0A8J1XFX1_OWEFU	V4C5P1_LOTGI
OG0000054	A0A8J1TND9_OWEFU	V3ZB50_LOTGI
OG0000056	A0A8S4N570_OWEFU, A0A8J1TQI2_OWEFU	V4CL40_LOTGI
OG0000057	A0A8J1UAP0_OWEFU	A0A0B6VI59_LOTGI, V3ZS59_LOTGI
OG0000058	A0A8J1UWG1_OWEFU	V4AZ98_LOTGI, V4AG74_LOTGI
OG0000059	A0A8J1XPH2_OWEFU, A0A2I6EEG1_OWEFU, A0A8S4N1Q5_OWEFU	V4AG38_LOTGI
OG0000060	A0A8J1XFR7_OWEFU	V4AMU9_LOTGI
OG0000061	A0A8S4PTX5_OWEFU, A0A8J1TXI9_OWEFU	V4ALT1_LOTGI, A0A0B6VLJ9_LOTGI
OG0000062	A0A8J1UKY0_OWEFU, A0A8J1Y520_OWEFU	V3ZRS6_LOTGI
OG0000063	A0A8S4PD62_OWEFU, A0A8J1UM84_OWEFU	V4B3K2_LOTGI
OG0000064	A0A8J1TVS4_OWEFU	V3ZSX8_LOTGI
OG0000065	A0A8J1Y2F5_OWEFU, A0A8S4NKP5_OWEFU	V4ALC7_LOTGI
OG0000066	A0A8J1TJ83_OWEFU	V3ZI41_LOTGI
OG0000067	A0A8J1Y1U3_OWEFU	V4BAI4_LOTGI
OG0000068	A0A8J1UAL6_OWEFU	V4B622_LOTGI
OG0000069	A0A8J1U9G2_OWEFU	V4AEL3_LOTGI
