Orthogroup	homeo_lgig	homeo_spha
OG0000000	V4BRR7_LOTGI, V3ZJY3_LOTGI	A0A812EKG4_SEPPH
OG0000000	V3ZQ03_LOTGI	A0A812E8A3_SEPPH
OG0000000	V4B1Z7_LOTGI, V4ARX4_LOTGI, V3Z594_LOTGI, V3ZUI4_LOTGI	A0A812B925_SEPPH
OG0000001	V4BBQ6_LOTGI	A0A812CSX7_SEPPH
OG0000002	V3ZPC7_LOTGI, V3ZF17_LOTGI, V3ZPD1_LOTGI	A0A812CH23_SEPPH
OG0000003	A0A0B6VNG5_LOTGI, V4AMZ8_LOTGI	A0A812BTC3_SEPPH
OG0000003	V3ZQV3_LOTGI	A0A812D295_SEPPH
OG0000004	V3Z5W5_LOTGI	A0A812DX13_SEPPH
OG0000006	V4AF73_LOTGI	A0A812BPP8_SEPPH, A0A812BJL2_SEPPH
OG0000009	V3ZVS2_LOTGI	A0A812EU87_SEPPH
OG0000010	V4BUI5_LOTGI	A0A812EIQ4_SEPPH
OG0000011	V4BYW7_LOTGI	A0A812BNP1_SEPPH
OG0000012	V3ZYQ4_LOTGI, V4A376_LOTGI	A0A812B9P4_SEPPH
OG0000016	V4AKS9_LOTGI, A0A0B6VJM6_LOTGI	A0A812DQW3_SEPPH
OG0000019	V4B0Q5_LOTGI	A0A812E850_SEPPH
OG0000020	V3ZZF5_LOTGI	A0A812CVN2_SEPPH
OG0000021	V4BGE9_LOTGI, A0A0B6VLM4_LOTGI	A0A812DH96_SEPPH, A0A812DH78_SEPPH
OG0000023	V4BHE9_LOTGI	A0A812AKM1_SEPPH
OG0000024	V4BAL6_LOTGI	A0A812EZS5_SEPPH
OG0000025	V4AG18_LOTGI	A0A812DPV1_SEPPH, A0A812DNZ3_SEPPH
OG0000026	V4A848_LOTGI	A0A812APR0_SEPPH
OG0000027	V4BFH7_LOTGI	A0A812E3X7_SEPPH
OG0000031	A0A0B6VI83_LOTGI, V3ZSX3_LOTGI	A0A812BB01_SEPPH
OG0000033	V3YX15_LOTGI	A0A812CGF8_SEPPH
OG0000034	V4ACI6_LOTGI	A0A812DGB7_SEPPH
OG0000037	V4AJI3_LOTGI	A0A812BHZ1_SEPPH
OG0000042	V4A7Q4_LOTGI	A0A812B373_SEPPH
OG0000044	V3ZXV0_LOTGI	A0A812BER8_SEPPH
OG0000047	V4AG06_LOTGI	A0A812DPY5_SEPPH
OG0000049	V3Z6R3_LOTGI	A0A812DM15_SEPPH
OG0000060	V4AMU9_LOTGI	A0A812AM68_SEPPH
OG0000061	V4ALT1_LOTGI, A0A0B6VLJ9_LOTGI	A0A812BSA7_SEPPH, A0A812B6T3_SEPPH
OG0000069	V4AEL3_LOTGI	A0A812BAS7_SEPPH
OG0000070	V3ZEA7_LOTGI	A0A812DLT3_SEPPH
OG0000071	V4APN7_LOTGI	A0A812ECF7_SEPPH
OG0000078	V3ZXQ0_LOTGI	A0A812BK74_SEPPH
OG0000081	V4B459_LOTGI	A0A812ERL0_SEPPH
OG0000085	V3Z9S3_LOTGI	A0A812DSX2_SEPPH
