	homeo_cgig	homeo_ctel	homeo_lgig	homeo_mcor	homeo_ofus	homeo_pdum	homeo_pele	homeo_spha
OG0000110	A0A068AZ42_CRAGI							
OG0000111	A0A8W8I420_CRAGI							
OG0000112	A0A8W8I884_CRAGI							
OG0000113	A0A8W8I8U6_CRAGI							
OG0000114	A0A8W8IF71_CRAGI							
OG0000115	A0A8W8IH69_CRAGI							
OG0000116	A0A8W8IKR1_CRAGI							
OG0000117	A0A8W8JAR2_CRAGI							
OG0000118	A0A8W8KV41_CRAGI							
OG0000119	A0A8W8KX18_CRAGI							
OG0000120	A0A8W8KZH0_CRAGI							
OG0000121	A0A8W8L0R3_CRAGI							
OG0000122	A0A8W8L259_CRAGI							
OG0000123	A0A8W8MNZ0_CRAGI							
OG0000124	A0A8W8MUJ5_CRAGI							
OG0000125	K1PQ27_CRAGI							
OG0000126	K1PQK3_CRAGI							
OG0000127	K1PUL6_CRAGI							
OG0000128	K1QLB4_CRAGI							
OG0000129	K1QLM4_CRAGI							
OG0000130	K1QZD9_CRAGI							
OG0000131	K1R6B6_CRAGI							
OG0000132	K1R6F2_CRAGI							
OG0000133	K1RDK0_CRAGI							
OG0000134	K1REB3_CRAGI							
OG0000135	K1RK86_CRAGI							
OG0000136	Q692U3_CRAGI							
OG0000137	Q86LP4_CRAGI							
OG0000138		R7TBS9_CAPTE						
OG0000139		R7TCH7_CAPTE						
OG0000140		R7TEX1_CAPTE						
OG0000141		R7TN25_CAPTE						
OG0000142		R7TNC9_CAPTE						
OG0000143		R7TPR7_CAPTE						
OG0000144		R7TQ32_CAPTE						
OG0000145		R7TUR1_CAPTE						
OG0000146		R7TVE3_CAPTE						
OG0000147		R7U8W4_CAPTE						
OG0000148		R7UN27_CAPTE						
OG0000149		R7UPQ3_CAPTE						
OG0000150		R7UWG7_CAPTE						
OG0000151		R7VHM4_CAPTE						
OG0000152		X2A7W3_CAPTE						
OG0000153		C4MJ53_CAPTE						
OG0000154		C4MK36_CAPTE						
OG0000155		C4MK40_CAPTE						
OG0000156		C4MQZ9_CAPTE						
OG0000157		R7T7G9_CAPTE						
OG0000158		R7T989_CAPTE						
OG0000159		R7TFU7_CAPTE						
OG0000160		R7TKJ1_CAPTE						
OG0000161		R7TWZ6_CAPTE						
OG0000162		R7TZ27_CAPTE						
OG0000163		R7U2V6_CAPTE						
OG0000164		R7U4H6_CAPTE						
OG0000165		R7UGR6_CAPTE						
OG0000166		R7UUB9_CAPTE						
OG0000167		R7VHW9_CAPTE						
OG0000168		R7VKF2_CAPTE						
OG0000169			V3Z3J0_LOTGI					
OG0000170			V4A9C6_LOTGI					
OG0000171			V4AD50_LOTGI					
OG0000172			V4B2G8_LOTGI					
OG0000173			V4CF21_LOTGI					
OG0000174			V3YX65_LOTGI					
OG0000175			V3ZU67_LOTGI					
OG0000176			V3ZWA0_LOTGI					
OG0000177			V3ZZ31_LOTGI					
OG0000178			V4AFX1_LOTGI					
OG0000179			V4AKN5_LOTGI					
OG0000180			V4B2N3_LOTGI					
OG0000181			V4BDV5_LOTGI					
OG0000182			V4CKM9_LOTGI					
OG0000183				A0A6J8AXU6_MYTCO				
OG0000184				A0A6J8BV88_MYTCO				
OG0000185				A0A6J8BX09_MYTCO				
OG0000186				A0A6J8BXE8_MYTCO				
OG0000187				A0A6J8C0L4_MYTCO				
OG0000188				A0A6J8C9I4_MYTCO				
OG0000189				A0A6J8DF14_MYTCO				
OG0000190				A0A6J7ZYC1_MYTCO				
OG0000191				A0A6J8A6U8_MYTCO				
OG0000192				A0A6J8AMP5_MYTCO				
OG0000193				A0A6J8CAW8_MYTCO				
OG0000194				A0A6J8CL77_MYTCO				
OG0000195				A0A6J8DJB6_MYTCO				
OG0000196				A0A6J8DJH8_MYTCO				
OG0000197					A0A8J1TD46_OWEFU			
OG0000198					A0A8J1TKB3_OWEFU			
OG0000199					A0A8J1TM94_OWEFU			
OG0000200					A0A8S4NS25_OWEFU			
OG0000201					A0A8J1T535_OWEFU			
OG0000202					A0A8J1T5H7_OWEFU			
OG0000203					A0A8J1T7E0_OWEFU			
OG0000204					A0A8J1TC99_OWEFU			
OG0000205					A0A8J1TFT2_OWEFU			
OG0000206					A0A8J1TIB4_OWEFU			
OG0000207					A0A8J1TZB5_OWEFU			
OG0000208					A0A8J1U121_OWEFU			
OG0000209					A0A8J1U3A9_OWEFU			
OG0000210					A0A8J1USW5_OWEFU			
OG0000211					A0A8J1XGH9_OWEFU			
OG0000212					A0A8J1XHJ9_OWEFU			
OG0000213					A0A8J1XNT3_OWEFU			
OG0000214					A0A8J1XVN6_OWEFU			
OG0000215					A0A8S4NDG6_OWEFU			
OG0000216					A0A8S4NYA8_OWEFU			
OG0000217					A0A8S4P687_OWEFU			
OG0000218					A0A8S4PXG9_OWEFU			
OG0000219					A0A8S4PZG3_OWEFU			
OG0000220						Pdum_DN70214_c1_g1_i1.p1^		
OG0000221						Pdum_DN70407_c0_g1_i4.p1^		
OG0000222						Pdum_DN74415_c1_g1_i1.p1^		
OG0000223						Pdum_DN78352_c0_g1_i2.p1^		
OG0000224						Pdum_DN78757_c0_g1_i8.p1^		
OG0000225						Pdum_DN79758_c0_g1_i2.p1^		
OG0000226						Pdum_DN83966_c0_g1_i8.p1^		
OG0000227						Pdum_DN87251_c0_g1_i5.p1^		
OG0000228						Pdum_DN88478_c0_g1_i6.p1^		
OG0000229						Pdum_DN88878_c0_g1_i1.p1^		
OG0000230							Pele_DN137766_c0_g1_i6.p1^	
OG0000231							Pele_DN139722_c1_g1_i7.p1^	
OG0000232							Pele_DN146218_c3_g5_i1.p1^	
OG0000233							Pele_DN147870_c0_g2_i2.p1^	
OG0000234							Pele_DN147870_c0_g4_i2.p1^	
OG0000235							Pele_DN150125_c1_g3_i1.p1^	
OG0000236							Pele_DN158880_c0_g3_i1.p1^	
OG0000237							Pele_DN162705_c0_g1_i7.p1^	
OG0000238							Pele_DN164146_c1_g3_i5.p1^	
OG0000239							Pele_DN165696_c2_g1_i2.p1^	
OG0000240								A0A812BR48_SEPPH
OG0000241								A0A812D538_SEPPH
