	homeo_cgig	homeo_ctel	homeo_lgig	homeo_mcor	homeo_ofus	homeo_pdum	homeo_pele	homeo_spha
OG0000000	A0A8W8IPA2_CRAGI, A0A8W8LAX7_CRAGI, A0A8W8LME9_CRAGI, A0A8W8N4P4_CRAGI, A0A8W8N755_CRAGI, A0A8W8NC56_CRAGI, A0A8W8NKQ5_CRAGI, K1PTP4_CRAGI, K1Q3T5_CRAGI, K1QC82_CRAGI	R7T3T5_CAPTE, R7TJ46_CAPTE, R7TK36_CAPTE, R7U9H9_CAPTE, R7UG11_CAPTE, R7UN25_CAPTE, R7VJE5_CAPTE, R7VLA1_CAPTE, R7VLQ3_CAPTE	V3Z594_LOTGI, V3ZJY3_LOTGI, V3ZQ03_LOTGI, V3ZUI4_LOTGI, V4AG29_LOTGI, V4ARX4_LOTGI, V4B1Z7_LOTGI, V4BRR7_LOTGI	A0A6J8A6S6_MYTCO, A0A6J8D361_MYTCO, A0A6J8D4Z1_MYTCO, A0A6J8DGF8_MYTCO, A0A6J8DYR4_MYTCO	A0A8J1TH95_OWEFU, A0A8J1UBP8_OWEFU, A0A8J1UID4_OWEFU, A0A8J1UPU6_OWEFU, A0A8J1XVB3_OWEFU, A0A8J1Y3J5_OWEFU, A0A8S4NIW6_OWEFU, A0A8S4P4P8_OWEFU	Pdum_DN81728_c1_g1_i5.p1^	Pele_DN158131_c1_g1_i1.p1^	A0A812B925_SEPPH, A0A812E8A3_SEPPH, A0A812EKG4_SEPPH
OG0000001	A0A8W8KTT7_CRAGI, A0A8W8KTU2_CRAGI, A0A8W8KTU7_CRAGI, A0A8W8KTV3_CRAGI, A0A8W8KTY2_CRAGI, A0A8W8KTY7_CRAGI, A0A8W8KTZ2_CRAGI, A0A8W8KTZ7_CRAGI, A0A8W8KVY4_CRAGI, A0A8W8KVY9_CRAGI, A0A8W8KVZ3_CRAGI, A0A8W8KWH2_CRAGI, A0A8W8KWH7_CRAGI, A0A8W8KWI1_CRAGI, A0A8W8KZM6_CRAGI, A0A8W8KZN0_CRAGI, A0A8W8KZN5_CRAGI, A0A8W8KZP0_CRAGI, K1RRF9_CRAGI	R7T8B4_CAPTE	V4BBQ6_LOTGI	A0A6J8CZX6_MYTCO, A0A6J8D1S3_MYTCO, A0A6J8D2D2_MYTCO, A0A6J8D326_MYTCO, A0A6J8D4G9_MYTCO	A0A8J1XTI5_OWEFU, A0A8J1XV20_OWEFU, A0A8S4NYJ5_OWEFU, A0A8S4P1R3_OWEFU, A0A8S4P221_OWEFU, A0A8S4P2I1_OWEFU, A0A8S4P2P7_OWEFU	Pdum_DN87249_c0_g1_i9.p1^	Pele_DN134842_c0_g2_i2.p1^, Pele_DN156383_c1_g1_i10.p1^	A0A812CSX7_SEPPH
OG0000002	A0A8W8JT33_CRAGI, A0A8W8JTR1_CRAGI, A0A8W8JX80_CRAGI, A0A8W8JY31_CRAGI, A0A8W8JYB7_CRAGI, A0A8W8K458_CRAGI, A0A8W8KJ06_CRAGI, K1Q4X5_CRAGI, K1QIR0_CRAGI, K1RA01_CRAGI, K1RIX6_CRAGI	R7U8T2_CAPTE, R7UAD2_CAPTE, R7UAD6_CAPTE	V3YXA5_LOTGI, V3ZF17_LOTGI, V3ZPC7_LOTGI, V3ZPD1_LOTGI	A0A6J8C6X8_MYTCO, A0A6J8C766_MYTCO, A0A6J8CAU0_MYTCO, A0A6J8CB01_MYTCO, A0A6J8CIP8_MYTCO, A0A6J8CM12_MYTCO, A0A6J8CRW7_MYTCO, A0A6J8E6I5_MYTCO	A0A8J1XR32_OWEFU	Pdum_DN69195_c0_g1_i2.p1^, Pdum_DN82374_c0_g2_i1.p1^	Pele_DN131147_c0_g1_i5.p1^	A0A812CH23_SEPPH, A0A812CHV2_SEPPH
OG0000003	A0A8W8JW62_CRAGI, A0A8W8JYI5_CRAGI, A0A8W8N7T4_CRAGI, A0A8W8NGD8_CRAGI, A0A8W8NKP9_CRAGI, K1QCD5_CRAGI, K1RJL2_CRAGI	A1XC54_CAPTE, R7TKD0_CAPTE, R7UF19_CAPTE	A0A0B6VNG5_LOTGI, V3ZQV3_LOTGI, V4AMZ8_LOTGI	A0A6J8BYI7_MYTCO, A0A6J8C7S3_MYTCO	A0A2I6QBP1_OWEFU, A0A2I6QBP6_OWEFU, A0A8S4N1Z8_OWEFU, A0A8S4N2Y9_OWEFU, A0A8S4NTX5_OWEFU, A0A8S4NVX6_OWEFU, A0A8S4NW90_OWEFU, A0A8S4NWV7_OWEFU, A0A8S4NZG7_OWEFU	Pdum_DN77615_c1_g1_i2.p1^, Pdum_DN83553_c0_g1_i4.p1^	Pele_DN141821_c0_g1_i1.p1^, Pele_DN146984_c1_g2_i4.p1^	A0A812BTC3_SEPPH, A0A812D295_SEPPH
OG0000004	A0A8W8I4C7_CRAGI, A0A8W8I588_CRAGI, A0A8W8I5K6_CRAGI, A0A8W8IAI7_CRAGI, A0A8W8IAW9_CRAGI, K1PJH4_CRAGI, K1QUB8_CRAGI, K1RZS7_CRAGI	F9W2V7_CAPTE, R7TJR3_CAPTE, R7VF41_CAPTE, R7VKC4_CAPTE, R7VKC5_CAPTE, R7VL20_CAPTE	V3Z5W5_LOTGI, V3ZUB0_LOTGI, V4AHM7_LOTGI	A0A6J8B9F8_MYTCO, A0A6J8CNA2_MYTCO, A0A6J8D371_MYTCO	A0A165US65_OWEFU, A0A8J1U7D2_OWEFU, A0A8J1ULN0_OWEFU, A0A8J1UN28_OWEFU, A0A8S4PHK6_OWEFU	Pdum_DN76380_c0_g1_i2.p1^	Pele_DN149662_c3_g3_i1.p1^	A0A812DX13_SEPPH
OG0000005					A0A8J1T4Y5_OWEFU, A0A8J1T4Z9_OWEFU, A0A8J1T5W3_OWEFU, A0A8J1TQ22_OWEFU, A0A8J1TQ88_OWEFU, A0A8J1TR92_OWEFU, A0A8J1TRV9_OWEFU, A0A8J1U4C9_OWEFU, A0A8J1U6D9_OWEFU, A0A8J1UPZ6_OWEFU, A0A8J1USW7_OWEFU, A0A8J1UZX7_OWEFU, A0A8J1V172_OWEFU, A0A8J1XE80_OWEFU, A0A8J1XFB5_OWEFU, A0A8J1XFH6_OWEFU, A0A8J1XFM8_OWEFU, A0A8J1XNH8_OWEFU, A0A8J1XQ93_OWEFU, A0A8J1Y877_OWEFU, A0A8J1YB92_OWEFU, A0A8S4N396_OWEFU, A0A8S4N3U8_OWEFU			
OG0000006	A0A8W8IBN2_CRAGI, A0A8W8L446_CRAGI, K1PKC2_CRAGI, K1Q1J3_CRAGI, K1QSB6_CRAGI	R7TSQ2_CAPTE, R7UQU2_CAPTE	V4AF73_LOTGI	A0A6J8DEH6_MYTCO, A0A6J8DH72_MYTCO	A0A8J1TZU4_OWEFU, A0A8J1U651_OWEFU	Pdum_DN79817_c0_g1_i1.p1^, Pdum_DN88717_c4_g1_i3.p1^	Pele_DN144533_c0_g2_i7.p1^, Pele_DN148207_c5_g3_i3.p1^	A0A812BJL2_SEPPH, A0A812BPP8_SEPPH
OG0000007	A0A8W8MTX2_CRAGI, A0A8W8N115_CRAGI, A0A8W8N1M3_CRAGI, K1QW78_CRAGI, K1RXD0_CRAGI	B6RFX9_CAPTE, B6RFY0_CAPTE, R7TDU7_CAPTE	V4AG11_LOTGI, V4CL38_LOTGI	A0A6J8EWJ3_MYTCO, A0A6J8EWP7_MYTCO	A0A8J1Y090_OWEFU, A0A8S4MXX6_OWEFU	Pdum_DN86128_c0_g1_i2.p1^, Pdum_DN87433_c1_g1_i2.p1^	Pele_DN145787_c0_g1_i7.p1^, Pele_DN164572_c3_g2_i2.p1^	
OG0000008	A0A8W8IBL0_CRAGI, A0A8W8ID51_CRAGI, A0A8W8ID58_CRAGI, A0A8W8IDF2_CRAGI, K1R2U9_CRAGI	R7VB52_CAPTE	A0A0B6VH88_LOTGI, V4A346_LOTGI	A0A6J8DAR7_MYTCO, A0A6J8DBP9_MYTCO	A0A165USE9_OWEFU, A0A8J1XWV6_OWEFU, A0A8S4Q800_OWEFU, A0A8S4Q9T7_OWEFU		Pele_DN102397_c0_g1_i1.p1^, Pele_DN126275_c0_g1_i2.p1^, Pele_DN134776_c0_g1_i1.p1^	
OG0000009	A0A8W8IM65_CRAGI, A0A8W8IMV1_CRAGI, A0A8W8INQ7_CRAGI, K1QXJ5_CRAGI, K1S2R0_CRAGI	R7V8E6_CAPTE, R7V9E7_CAPTE	V3ZL81_LOTGI, V3ZVS2_LOTGI	A0A6J8CIY4_MYTCO, A0A6J8CLR7_MYTCO	A0A8J1T4P3_OWEFU, A0A8J1T4X5_OWEFU	Pdum_DN83852_c0_g2_i4.p1^	Pele_DN143640_c0_g2_i1.p1^, Pele_DN158688_c0_g2_i1.p1^	A0A812EU87_SEPPH
