#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Pdum_DN70372_c0_g2_i4:88-1356 -            423 387079at33208        -            220   2.4e-85  283.8  23.0   1   5   1.7e-27   1.7e-24   84.8   0.9     1    53     4    57     4    88 0.88 -
Pdum_DN70372_c0_g2_i4:88-1356 -            423 387079at33208        -            220   2.4e-85  283.8  23.0   2   5   1.1e-05     0.011   13.4   3.5    52    73    87   108    72   130 0.85 -
Pdum_DN70372_c0_g2_i4:88-1356 -            423 387079at33208        -            220   2.4e-85  283.8  23.0   3   5   6.9e-54   6.9e-51  171.1   0.9    72   176   196   302   191   310 0.95 -
Pdum_DN70372_c0_g2_i4:88-1356 -            423 387079at33208        -            220   2.4e-85  283.8  23.0   4   5     6e-09     6e-06   24.2   0.0   172   198   330   356   311   376 0.81 -
Pdum_DN70372_c0_g2_i4:88-1356 -            423 387079at33208        -            220   2.4e-85  283.8  23.0   5   5     0.057        57    1.4   0.1   195   219   389   413   386   414 0.89 -
Pdum_DN81885_c0_g2_i4:6-884   -            293 387079at33208        -            220   2.6e-11   41.7  16.3   1   3   0.00012      0.12   10.1   0.3    72   120    41    93    26   111 0.80 -
Pdum_DN81885_c0_g2_i4:6-884   -            293 387079at33208        -            220   2.6e-11   41.7  16.3   2   3   5.3e-13   5.3e-10   37.4   7.4    50   173   135   259   122   264 0.76 -
Pdum_DN81885_c0_g2_i4:6-884   -            293 387079at33208        -            220   2.6e-11   41.7  16.3   3   3      0.47   4.8e+02   -1.7   0.1    66    79   279   292   256   293 0.65 -
Pdum_DN81885_c0_g1_i3:171-620 -            150 387079at33208        -            220   9.5e-06   23.5   2.0   1   1     1e-08     1e-05   23.4   2.0    77   157     1    83     1   127 0.81 -
Pdum_DN83320_c3_g2_i3:2-655   -            218 387079at33208        -            220      0.14    9.9   8.7   1   1   3.6e-05     0.036   11.8   5.2    53   145   106   201    92   207 0.85 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /mnt/f/phylo/WORMS/busco_analysis/busco_downloads/lineages/metazoa_odb10/hmms/387079at33208.hmm
# Target file:     /mnt/f/phylo/WORMS/busco_analysis/metazoa_lineage_result/run_metazoa_odb10/metaeuk_output/initial_results/Platynereis_ref.eggnog_filter.nucl.fasta.modified.fas
# Option settings: hmmsearch --domtblout /mnt/f/phylo/WORMS/busco_analysis/metazoa_lineage_result/run_metazoa_odb10/hmmer_output/initial_run_results/387079at33208.out --cpu 1 /mnt/f/phylo/WORMS/busco_analysis/busco_downloads/lineages/metazoa_odb10/hmms/387079at33208.hmm /mnt/f/phylo/WORMS/busco_analysis/metazoa_lineage_result/run_metazoa_odb10/metaeuk_output/initial_results/Platynereis_ref.eggnog_filter.nucl.fasta.modified.fas 
# Current dir:     /mnt/f/phylo/WORMS/busco_analysis
# Date:            Sun Mar 12 20:42:13 2023
# [ok]
