Orthogroup	homeo_ctel	homeo_ofus
OG0000000	R7UG11_CAPTE, R7U9H9_CAPTE	A0A8J1UID4_OWEFU
OG0000000	R7TK36_CAPTE	A0A8J1Y3J5_OWEFU
OG0000000	R7TJ46_CAPTE, R7VLQ3_CAPTE	A0A8J1XVB3_OWEFU
OG0000000	R7VJE5_CAPTE	A0A8J1UPU6_OWEFU
OG0000000	R7UN25_CAPTE	A0A8J1TH95_OWEFU
OG0000000	R7VLA1_CAPTE	A0A8J1UBP8_OWEFU, A0A8S4NIW6_OWEFU
OG0000000	R7T3T5_CAPTE	A0A8S4P4P8_OWEFU
OG0000001	R7T8B4_CAPTE	A0A8S4NYJ5_OWEFU, A0A8S4P1R3_OWEFU, A0A8S4P2P7_OWEFU, A0A8J1XTI5_OWEFU, A0A8S4P221_OWEFU, A0A8J1XV20_OWEFU, A0A8S4P2I1_OWEFU
OG0000002	R7UAD2_CAPTE, R7U8T2_CAPTE, R7UAD6_CAPTE	A0A8J1XR32_OWEFU
OG0000003	R7TKD0_CAPTE, A1XC54_CAPTE	A0A2I6QBP6_OWEFU, A0A8S4N2Y9_OWEFU, A0A8S4N1Z8_OWEFU
OG0000003	R7UF19_CAPTE	A0A8S4NWV7_OWEFU, A0A8S4NW90_OWEFU, A0A8S4NTX5_OWEFU, A0A8S4NZG7_OWEFU, A0A8S4NVX6_OWEFU, A0A2I6QBP1_OWEFU
OG0000004	F9W2V7_CAPTE	A0A8J1ULN0_OWEFU
OG0000004	R7TJR3_CAPTE	A0A8S4PHK6_OWEFU, A0A8J1UN28_OWEFU
OG0000004	R7VF41_CAPTE, R7VL20_CAPTE, R7VKC4_CAPTE	A0A8J1U7D2_OWEFU, A0A165US65_OWEFU
OG0000006	R7TSQ2_CAPTE	A0A8J1U651_OWEFU
OG0000006	R7UQU2_CAPTE	A0A8J1TZU4_OWEFU
OG0000007	R7TDU7_CAPTE, B6RFX9_CAPTE	A0A8S4MXX6_OWEFU
OG0000007	B6RFY0_CAPTE	A0A8J1Y090_OWEFU
OG0000008	R7VB52_CAPTE	A0A8S4Q9T7_OWEFU, A0A8S4Q800_OWEFU, A0A165USE9_OWEFU, A0A8J1XWV6_OWEFU
OG0000009	R7V9E7_CAPTE	A0A8J1T4P3_OWEFU, A0A8J1T4X5_OWEFU
OG0000010	R7TEF8_CAPTE	A0A8J1U072_OWEFU
OG0000010	R7T8A8_CAPTE	A0A8J1TY94_OWEFU
OG0000011	A6XFC4_CAPTE, I2CHN7_CAPTE, I2CHN6_CAPTE, R7UJW8_CAPTE	A0A165US84_OWEFU
OG0000012	R7T5K2_CAPTE, Q4JEV7_CAPTE, R7T5Y1_CAPTE	A0A8J1TNT9_OWEFU, A0A8S4N3Y9_OWEFU
OG0000013	B6RFX8_CAPTE	A0A8J1UD53_OWEFU
OG0000013	R7TDR8_CAPTE, B6RFY3_CAPTE	A0A8J1UCV7_OWEFU
OG0000014	R7ULV8_CAPTE, C4MK38_CAPTE, C4MK39_CAPTE, R7UKD7_CAPTE	A0A8J1XXX6_OWEFU, A0A2I6QBN3_OWEFU, A0A8J1XW66_OWEFU, A0A8J1U7M4_OWEFU
OG0000015	R7T846_CAPTE, R7TFH5_CAPTE	A0A8J1XFN8_OWEFU, A0A2I6QBP3_OWEFU, A0A2I6QBN9_OWEFU
OG0000016	R7UF46_CAPTE	A0A8J1UHP7_OWEFU, A0A8J1UEH4_OWEFU, A0A8J1Y336_OWEFU
OG0000017	R7TLA4_CAPTE, B6RFX6_CAPTE	A0A8J1U832_OWEFU
OG0000020	R7TTR6_CAPTE, C4MK41_CAPTE, R7TT53_CAPTE	A0A8J1T614_OWEFU
OG0000021	R7TTU8_CAPTE, R7U050_CAPTE	A0A8S4P241_OWEFU, A0A8J1XWF8_OWEFU
OG0000022	R7TPZ8_CAPTE	A0A8J1TZ61_OWEFU
OG0000023	R7VCA4_CAPTE	A0A8J1Y3W8_OWEFU, A0A8J1UKC6_OWEFU, A0A8J1UHF5_OWEFU, A0A8S4P263_OWEFU, A0A8J1UG53_OWEFU
OG0000024	B6RFY1_CAPTE, R7UM68_CAPTE	A0A8J1UDK6_OWEFU, A0A8J1UDF1_OWEFU, A0A8S4MYZ0_OWEFU, A0A8J1U9I4_OWEFU
OG0000025	R7UVI0_CAPTE, R7UP28_CAPTE	A0A8J1XR59_OWEFU
OG0000026	R7UC46_CAPTE	A0A8J1UI38_OWEFU
OG0000031	R7TFZ7_CAPTE	A0A8J1TXC5_OWEFU, A0A8J1XUY2_OWEFU, A0A8J1TVW9_OWEFU
OG0000032	R7TUB2_CAPTE	A0A8J1UPA1_OWEFU, A0A166GC00_OWEFU, A0A8J1UL28_OWEFU
OG0000033	C4MLF0_CAPTE, R7T8C3_CAPTE, R7T4E3_CAPTE	A0A8J1T993_OWEFU, A0A8S4NPX3_OWEFU
OG0000034	C4MLF3_CAPTE, R7UCX5_CAPTE	A0A8J1T830_OWEFU, A0A8J1T7B9_OWEFU
OG0000035	R7UAK3_CAPTE, R7U2Q3_CAPTE, R7UAU5_CAPTE	A0A8S4P1L7_OWEFU, A0A8J1XVI0_OWEFU
OG0000036	R7UAG0_CAPTE, R7U2A3_CAPTE	A0A8J1TLL2_OWEFU, A0A8J1XNQ9_OWEFU
OG0000037	R7UTJ6_CAPTE	A0A8S4PRS0_OWEFU, A0A8J1TZ22_OWEFU
OG0000038	R7TQQ6_CAPTE	A0A8J1TIC1_OWEFU
OG0000040	R7TU37_CAPTE	A0A8J1U2Q5_OWEFU, A0A165USH4_OWEFU
OG0000041	R7TL21_CAPTE	A0A8J1TUD3_OWEFU
OG0000042	R7TD58_CAPTE, C4MK42_CAPTE	A0A8J1XEH4_OWEFU, A0A8J1T6R3_OWEFU
OG0000044	R7T4R6_CAPTE	A0A8S4PLQ3_OWEFU, A0A8J1UNW8_OWEFU
OG0000045	R7TXI6_CAPTE, Q2FBJ0_CAPTE	A0A8J1XM42_OWEFU, A0A165USC6_OWEFU
OG0000046	R7TK21_CAPTE, B6RFX4_CAPTE	A0A8J1U8H8_OWEFU
OG0000047	R7TDU3_CAPTE, B6RFX5_CAPTE, R7TDR5_CAPTE	A0A8J1U9N6_OWEFU
OG0000048	C4MK37_CAPTE, R7TY93_CAPTE	A0A165US97_OWEFU
OG0000049	R7U019_CAPTE	A0A8J1XHJ6_OWEFU, A0A8S4NSB6_OWEFU
OG0000050	Q2FBI9_CAPTE, R7U4M8_CAPTE, R7V8P0_CAPTE	A0A8J1TJB3_OWEFU
OG0000051	R7UP51_CAPTE	A0A8J1XQF8_OWEFU, A0A8S4N0G9_OWEFU
OG0000052	R7TCH5_CAPTE, C4MLF2_CAPTE	A0A8J1T5Z3_OWEFU
OG0000053	C4MLF1_CAPTE, R7TTZ4_CAPTE	A0A8J1XFX1_OWEFU
OG0000054	R7UMJ1_CAPTE	A0A8J1TND9_OWEFU
OG0000056	R7UAI4_CAPTE, B6RFY2_CAPTE	A0A8S4N570_OWEFU, A0A8J1TQI2_OWEFU
OG0000057	R7TGN1_CAPTE, R7TGD7_CAPTE	A0A8J1UAP0_OWEFU
OG0000058	R7UC57_CAPTE	A0A8J1UWG1_OWEFU
OG0000059	R7UNJ2_CAPTE	A0A8J1XPH2_OWEFU, A0A2I6EEG1_OWEFU, A0A8S4N1Q5_OWEFU
OG0000060	R7ULI7_CAPTE	A0A8J1T4B5_OWEFU
OG0000060	R7UDF2_CAPTE, C4MK43_CAPTE	A0A8J1XFR7_OWEFU
OG0000061	R7TJG0_CAPTE	A0A8S4PTX5_OWEFU, A0A8J1TXI9_OWEFU
OG0000062	R7UN60_CAPTE	A0A8J1UKY0_OWEFU
OG0000062	R7UWA1_CAPTE	A0A8J1Y520_OWEFU
OG0000063	R7TI74_CAPTE, R7VCX8_CAPTE	A0A8S4PD62_OWEFU, A0A8J1UM84_OWEFU
OG0000064	Q09VU4_CAPTE, R7TJF1_CAPTE	A0A8J1TVS4_OWEFU
OG0000065	R7UAJ4_CAPTE	A0A8J1Y2F5_OWEFU, A0A8S4NKP5_OWEFU
OG0000066	Q2FA45_CAPTE, R7TBA9_CAPTE	A0A8J1TJ83_OWEFU
OG0000067	R7TLA0_CAPTE, B6RFX3_CAPTE	A0A8J1Y1U3_OWEFU
OG0000068	B6RFX7_CAPTE, R7TK28_CAPTE	A0A8J1UAL6_OWEFU
OG0000069	R7UDP9_CAPTE	A0A8J1U9G2_OWEFU
OG0000070	R7TC57_CAPTE	A0A8S4P1Z9_OWEFU, A0A8J1TXW6_OWEFU
OG0000071	R7TTE4_CAPTE	A0A8J1Y043_OWEFU
OG0000072	R7UX36_CAPTE, R7TQE4_CAPTE, R7UP44_CAPTE	A0A8J1TPC4_OWEFU, A0A8S4N1D9_OWEFU
OG0000073	R7UK02_CAPTE	A0A8J1XJI6_OWEFU
OG0000074	R7VJ71_CAPTE	A0A8J1Y3X5_OWEFU
OG0000075	R7TRL6_CAPTE	A0A8J1XWL1_OWEFU
OG0000076	R7U6M3_CAPTE	A0A8J1XHX7_OWEFU, A0A8S4NQ05_OWEFU
OG0000077	R7UUL8_CAPTE	A0A8S4N0Y2_OWEFU, A0A8J1U7C5_OWEFU
OG0000078	R7UZM9_CAPTE	A0A8J1TWH5_OWEFU
OG0000079	C4MLE9_CAPTE	A0A2I6QBN1_OWEFU
OG0000080	R7V240_CAPTE	A0A8J1XVX0_OWEFU
OG0000082	R7VCI3_CAPTE	A0A8J1UJ17_OWEFU
OG0000083	R7TD78_CAPTE	A0A8J1T6P4_OWEFU
OG0000084	R7VEW7_CAPTE, R7UQR4_CAPTE	A0A8J1UTM8_OWEFU
OG0000085	R7T959_CAPTE	A0A8J1U389_OWEFU
OG0000090	R7TS59_CAPTE	A0A8J1TXV8_OWEFU
OG0000091	R7VFF9_CAPTE	A0A8S4P2N0_OWEFU, A0A8J1TZD7_OWEFU, A0A8J1TY39_OWEFU
OG0000094	R7UVH4_CAPTE	A0A8J1TQ83_OWEFU, A0A8S4N2S6_OWEFU
OG0000108	N1PB35_CAPTE	A0A8J1URX5_OWEFU
