Orthogroup	homeo_cgig	homeo_mcor
OG0000000	A0A8W8NKQ5_CRAGI, A0A8W8NC56_CRAGI	A0A6J8D361_MYTCO
OG0000000	A0A8W8LME9_CRAGI, K1PTP4_CRAGI	A0A6J8D4Z1_MYTCO
OG0000000	A0A8W8LAX7_CRAGI	A0A6J8A6S6_MYTCO
OG0000000	A0A8W8IPA2_CRAGI, K1Q3T5_CRAGI	A0A6J8DYR4_MYTCO
OG0000001	A0A8W8KTU7_CRAGI, A0A8W8KWH7_CRAGI, A0A8W8KVY4_CRAGI, A0A8W8KZP0_CRAGI, A0A8W8KTZ2_CRAGI, A0A8W8KTY2_CRAGI, K1RRF9_CRAGI, A0A8W8KTT7_CRAGI, A0A8W8KWH2_CRAGI, A0A8W8KZM6_CRAGI, A0A8W8KTV3_CRAGI, A0A8W8KTZ7_CRAGI, A0A8W8KVZ3_CRAGI, A0A8W8KVY9_CRAGI, A0A8W8KWI1_CRAGI, A0A8W8KTU2_CRAGI, A0A8W8KZN5_CRAGI, A0A8W8KTY7_CRAGI, A0A8W8KZN0_CRAGI	A0A6J8D4G9_MYTCO, A0A6J8D326_MYTCO, A0A6J8D1S3_MYTCO, A0A6J8CZX6_MYTCO, A0A6J8D2D2_MYTCO
OG0000002	A0A8W8JY31_CRAGI, K1RIX6_CRAGI	A0A6J8CM12_MYTCO
OG0000002	A0A8W8K458_CRAGI, A0A8W8JYB7_CRAGI, K1RA01_CRAGI	A0A6J8CIP8_MYTCO
OG0000002	K1QIR0_CRAGI, A0A8W8JTR1_CRAGI, A0A8W8JT33_CRAGI, A0A8W8JX80_CRAGI	A0A6J8C766_MYTCO, A0A6J8CB01_MYTCO, A0A6J8CAU0_MYTCO, A0A6J8C6X8_MYTCO
OG0000002	K1Q4X5_CRAGI, A0A8W8KJ06_CRAGI	A0A6J8CRW7_MYTCO, A0A6J8E6I5_MYTCO
OG0000003	K1RJL2_CRAGI, A0A8W8JYI5_CRAGI, A0A8W8JW62_CRAGI	A0A6J8C7S3_MYTCO
OG0000003	A0A8W8NGD8_CRAGI, A0A8W8N7T4_CRAGI, K1QCD5_CRAGI, A0A8W8NKP9_CRAGI	A0A6J8BYI7_MYTCO
OG0000004	A0A8W8IAI7_CRAGI, A0A8W8IAW9_CRAGI, K1PJH4_CRAGI	A0A6J8CNA2_MYTCO
OG0000004	K1RZS7_CRAGI, A0A8W8I5K6_CRAGI, A0A8W8I4C7_CRAGI, A0A8W8I588_CRAGI	A0A6J8D371_MYTCO
OG0000004	K1QUB8_CRAGI	A0A6J8B9F8_MYTCO
OG0000006	K1QSB6_CRAGI, A0A8W8IBN2_CRAGI	A0A6J8DH72_MYTCO, A0A6J8DEH6_MYTCO
OG0000007	A0A8W8MTX2_CRAGI, A0A8W8N115_CRAGI, A0A8W8N1M3_CRAGI, K1QW78_CRAGI	A0A6J8EWP7_MYTCO
OG0000007	K1RXD0_CRAGI	A0A6J8EWJ3_MYTCO
OG0000008	A0A8W8ID58_CRAGI, A0A8W8IDF2_CRAGI, K1R2U9_CRAGI, A0A8W8IBL0_CRAGI, A0A8W8ID51_CRAGI	A0A6J8DAR7_MYTCO, A0A6J8DBP9_MYTCO
OG0000009	K1S2R0_CRAGI, A0A8W8IMV1_CRAGI	A0A6J8CLR7_MYTCO
OG0000009	A0A8W8IM65_CRAGI, A0A8W8INQ7_CRAGI, K1QXJ5_CRAGI	A0A6J8CIY4_MYTCO
OG0000010	A0A8W8L0Q8_CRAGI, K1QGS5_CRAGI	A0A6J8AYI9_MYTCO
OG0000010	K1R2K0_CRAGI, A0A8W8KX13_CRAGI	A0A6J8B0Y3_MYTCO, A0A6J8AXF0_MYTCO, A0A6J8AD85_MYTCO
OG0000011	K1PAC6_CRAGI, A0A8W8NHM8_CRAGI, A0A8W8NPX1_CRAGI	A0A6J8DUM5_MYTCO
OG0000011	A0A8W8NKY1_CRAGI, K1QA73_CRAGI	A0A6J8DQU1_MYTCO
OG0000012	A0A8W8N8Z0_CRAGI, K1PNG1_CRAGI, K1PW38_CRAGI	A0A6J8DJ46_MYTCO, A0A6J8DK06_MYTCO
OG0000013	A0A8W8N110_CRAGI, A0A8W8N1L7_CRAGI, K1RHX0_CRAGI, A0A8W8N1L2_CRAGI	A0A6J8EU52_MYTCO
OG0000014	K1QCU1_CRAGI, A0A8W8I780_CRAGI, A0A8W8I5P7_CRAGI	A0A6J8A481_MYTCO
OG0000015	A0A8W8IY98_CRAGI, K1QPR6_CRAGI, A0A8W8J181_CRAGI, A0A8W8IZU2_CRAGI, A0A8W8J275_CRAGI	A0A6J8AFB3_MYTCO
OG0000016	A0A8W8LHX8_CRAGI, K1RE41_CRAGI, A0A8W8LGC0_CRAGI, A0A8W8LMC2_CRAGI	A0A6J8AS36_MYTCO
OG0000017	A0A8W8MTV1_CRAGI, A0A8W8MYP5_CRAGI, A0A8W8N1I9_CRAGI, K1QFQ3_CRAGI, A0A8W8N4T0_CRAGI, A0A8W8MYP1_CRAGI, A0A8W8N4S5_CRAGI, A0A8W8N4T5_CRAGI	A0A6J8EWU2_MYTCO
OG0000019	A0A8W8MBS7_CRAGI, A0A8W8ML63_CRAGI, K1RYM7_CRAGI, A0A8W8MC90_CRAGI	A0A6J7ZWY7_MYTCO, A0A6J7ZWH3_MYTCO, A0A6J8AYR7_MYTCO, A0A6J8AXM7_MYTCO
OG0000020	K1QLY6_CRAGI, A0A8W8IV11_CRAGI, A0A8W8ITK7_CRAGI, A0A8W8IVV5_CRAGI, A0A8W8ITN2_CRAGI, A0A8W8IX86_CRAGI	A0A6J8EQ72_MYTCO
OG0000021	A0A8W8KZY7_CRAGI, K1PZT1_CRAGI, A0A8W8KUA3_CRAGI, A0A8W8KU68_CRAGI	A0A6J8AHL2_MYTCO
OG0000022	K1R6C9_CRAGI, A0A8W8LDK7_CRAGI	A0A6J8AXB1_MYTCO
OG0000022	K1R014_CRAGI, A0A8W8LJK1_CRAGI, A0A8W8LF54_CRAGI	A0A6J8AT60_MYTCO, A0A6J8AWI0_MYTCO
OG0000023	K1RMV0_CRAGI, A0A8W8MC14_CRAGI	A0A6J8CQJ4_MYTCO, A0A6J8CS02_MYTCO
OG0000024	A0A8W8MYT7_CRAGI, A0A8W8N1P2_CRAGI, K1PZI6_CRAGI	A0A6J8A9D3_MYTCO
OG0000025	A0A8W8NBC0_CRAGI, A0A8W8NE43_CRAGI, A0A8W8NIK3_CRAGI, A0A8W8NEB1_CRAGI, K1PYG5_CRAGI	A0A6J8D8H3_MYTCO
OG0000026	A0A8W8L5Z7_CRAGI, A0A8W8L9G2_CRAGI, K1R684_CRAGI, A0A8W8L5E0_CRAGI, A0A8W8L493_CRAGI, A0A8W8L9F6_CRAGI, A0A8W8L3M1_CRAGI	A0A6J8DYQ0_MYTCO
OG0000027	A0A8W8N5P0_CRAGI	A0A6J8D474_MYTCO
