Orthogroup	homeo_cgig	homeo_ctel
OG0000000	A0A8W8NKQ5_CRAGI, A0A8W8NC56_CRAGI	R7UG11_CAPTE, R7U9H9_CAPTE
OG0000000	A0A8W8N755_CRAGI, K1QC82_CRAGI, A0A8W8N4P4_CRAGI	R7TJ46_CAPTE, R7VLQ3_CAPTE
OG0000000	A0A8W8LME9_CRAGI, K1PTP4_CRAGI	R7VJE5_CAPTE
OG0000000	A0A8W8LAX7_CRAGI	R7UN25_CAPTE
OG0000000	A0A8W8IPA2_CRAGI, K1Q3T5_CRAGI	R7VLA1_CAPTE
OG0000001	A0A8W8KTU7_CRAGI, A0A8W8KWH7_CRAGI, A0A8W8KVY4_CRAGI, A0A8W8KZP0_CRAGI, A0A8W8KTZ2_CRAGI, A0A8W8KTY2_CRAGI, K1RRF9_CRAGI, A0A8W8KTT7_CRAGI, A0A8W8KWH2_CRAGI, A0A8W8KZM6_CRAGI, A0A8W8KTV3_CRAGI, A0A8W8KTZ7_CRAGI, A0A8W8KVZ3_CRAGI, A0A8W8KVY9_CRAGI, A0A8W8KWI1_CRAGI, A0A8W8KTU2_CRAGI, A0A8W8KZN5_CRAGI, A0A8W8KTY7_CRAGI, A0A8W8KZN0_CRAGI	R7T8B4_CAPTE
OG0000002	K1QIR0_CRAGI, A0A8W8JTR1_CRAGI, A0A8W8JT33_CRAGI, A0A8W8JX80_CRAGI	R7UAD2_CAPTE
OG0000002	K1Q4X5_CRAGI, A0A8W8KJ06_CRAGI	R7UAD6_CAPTE
OG0000003	K1RJL2_CRAGI, A0A8W8JYI5_CRAGI, A0A8W8JW62_CRAGI	R7TKD0_CAPTE, A1XC54_CAPTE
OG0000003	A0A8W8NGD8_CRAGI, A0A8W8N7T4_CRAGI, K1QCD5_CRAGI, A0A8W8NKP9_CRAGI	R7UF19_CAPTE
OG0000004	A0A8W8IAI7_CRAGI, A0A8W8IAW9_CRAGI, K1PJH4_CRAGI	F9W2V7_CAPTE
OG0000004	K1RZS7_CRAGI, A0A8W8I5K6_CRAGI, A0A8W8I4C7_CRAGI, A0A8W8I588_CRAGI	R7TJR3_CAPTE
OG0000004	K1QUB8_CRAGI	R7VF41_CAPTE, R7VL20_CAPTE, R7VKC4_CAPTE
OG0000006	K1PKC2_CRAGI	R7TSQ2_CAPTE
OG0000006	K1Q1J3_CRAGI, A0A8W8L446_CRAGI	R7UQU2_CAPTE
OG0000007	A0A8W8MTX2_CRAGI, A0A8W8N115_CRAGI, A0A8W8N1M3_CRAGI, K1QW78_CRAGI	R7TDU7_CAPTE, B6RFX9_CAPTE
OG0000007	K1RXD0_CRAGI	B6RFY0_CAPTE
OG0000008	A0A8W8ID58_CRAGI, A0A8W8IDF2_CRAGI, K1R2U9_CRAGI, A0A8W8IBL0_CRAGI, A0A8W8ID51_CRAGI	R7VB52_CAPTE
OG0000009	K1S2R0_CRAGI, A0A8W8IMV1_CRAGI, A0A8W8IM65_CRAGI, A0A8W8INQ7_CRAGI, K1QXJ5_CRAGI	R7V9E7_CAPTE
OG0000010	A0A8W8L0Q8_CRAGI, K1QGS5_CRAGI	R7TEF8_CAPTE
OG0000010	K1R2K0_CRAGI, A0A8W8KX13_CRAGI	R7T8A8_CAPTE
OG0000011	K1PAC6_CRAGI, A0A8W8NHM8_CRAGI, A0A8W8NPX1_CRAGI	A6XFC4_CAPTE, I2CHN7_CAPTE, I2CHN6_CAPTE, R7UJW8_CAPTE
OG0000012	A0A8W8N8Z0_CRAGI, K1PNG1_CRAGI, K1PW38_CRAGI	R7T5K2_CAPTE, Q4JEV7_CAPTE, R7T5Y1_CAPTE
OG0000013	A0A8W8N110_CRAGI, A0A8W8N1L7_CRAGI, K1RHX0_CRAGI, A0A8W8N1L2_CRAGI	B6RFX8_CAPTE
OG0000014	K1QCU1_CRAGI, A0A8W8I780_CRAGI, A0A8W8I5P7_CRAGI	R7ULV8_CAPTE, C4MK38_CAPTE, C4MK39_CAPTE, R7UKD7_CAPTE
