Orthogroup	homeo_ofus	homeo_cgig
OG0000000	A0A8J1UID4_OWEFU	A0A8W8NKQ5_CRAGI, A0A8W8NC56_CRAGI
OG0000000	A0A8J1XVB3_OWEFU	A0A8W8N755_CRAGI, K1QC82_CRAGI, A0A8W8N4P4_CRAGI
OG0000000	A0A8J1UPU6_OWEFU	A0A8W8LME9_CRAGI, K1PTP4_CRAGI
OG0000000	A0A8J1TH95_OWEFU	A0A8W8LAX7_CRAGI
OG0000000	A0A8J1UBP8_OWEFU, A0A8S4NIW6_OWEFU	A0A8W8IPA2_CRAGI, K1Q3T5_CRAGI
OG0000001	A0A8S4NYJ5_OWEFU, A0A8S4P1R3_OWEFU, A0A8S4P2P7_OWEFU, A0A8J1XTI5_OWEFU, A0A8S4P221_OWEFU, A0A8J1XV20_OWEFU, A0A8S4P2I1_OWEFU	A0A8W8KTU7_CRAGI, A0A8W8KWH7_CRAGI, A0A8W8KVY4_CRAGI, A0A8W8KZP0_CRAGI, A0A8W8KTZ2_CRAGI, A0A8W8KTY2_CRAGI, K1RRF9_CRAGI, A0A8W8KTT7_CRAGI, A0A8W8KWH2_CRAGI, A0A8W8KZM6_CRAGI, A0A8W8KTV3_CRAGI, A0A8W8KTZ7_CRAGI, A0A8W8KVZ3_CRAGI, A0A8W8KVY9_CRAGI, A0A8W8KWI1_CRAGI, A0A8W8KTU2_CRAGI, A0A8W8KZN5_CRAGI, A0A8W8KTY7_CRAGI, A0A8W8KZN0_CRAGI
OG0000002	A0A8J1XR32_OWEFU	A0A8W8JY31_CRAGI, K1RIX6_CRAGI, A0A8W8K458_CRAGI, A0A8W8JYB7_CRAGI, K1RA01_CRAGI, K1QIR0_CRAGI, A0A8W8JTR1_CRAGI, A0A8W8JT33_CRAGI, A0A8W8JX80_CRAGI, K1Q4X5_CRAGI, A0A8W8KJ06_CRAGI
OG0000003	A0A2I6QBP6_OWEFU, A0A8S4N2Y9_OWEFU, A0A8S4N1Z8_OWEFU	K1RJL2_CRAGI, A0A8W8JYI5_CRAGI, A0A8W8JW62_CRAGI
OG0000003	A0A8S4NWV7_OWEFU, A0A8S4NW90_OWEFU, A0A8S4NTX5_OWEFU, A0A8S4NZG7_OWEFU, A0A8S4NVX6_OWEFU, A0A2I6QBP1_OWEFU	A0A8W8NGD8_CRAGI, A0A8W8N7T4_CRAGI, K1QCD5_CRAGI, A0A8W8NKP9_CRAGI
OG0000004	A0A8J1ULN0_OWEFU	A0A8W8IAI7_CRAGI, A0A8W8IAW9_CRAGI, K1PJH4_CRAGI
OG0000004	A0A8S4PHK6_OWEFU, A0A8J1UN28_OWEFU	K1RZS7_CRAGI, A0A8W8I5K6_CRAGI, A0A8W8I4C7_CRAGI, A0A8W8I588_CRAGI
OG0000004	A0A8J1U7D2_OWEFU, A0A165US65_OWEFU	K1QUB8_CRAGI
OG0000006	A0A8J1U651_OWEFU	K1QSB6_CRAGI, A0A8W8IBN2_CRAGI, K1PKC2_CRAGI
OG0000006	A0A8J1TZU4_OWEFU	K1Q1J3_CRAGI, A0A8W8L446_CRAGI
OG0000007	A0A8S4MXX6_OWEFU	A0A8W8MTX2_CRAGI, A0A8W8N115_CRAGI, A0A8W8N1M3_CRAGI, K1QW78_CRAGI
OG0000007	A0A8J1Y090_OWEFU	K1RXD0_CRAGI
OG0000008	A0A8S4Q800_OWEFU, A0A165USE9_OWEFU, A0A8J1XWV6_OWEFU	A0A8W8ID58_CRAGI, A0A8W8IDF2_CRAGI, K1R2U9_CRAGI, A0A8W8IBL0_CRAGI, A0A8W8ID51_CRAGI
OG0000009	A0A8J1T4P3_OWEFU, A0A8J1T4X5_OWEFU	K1S2R0_CRAGI, A0A8W8IMV1_CRAGI, A0A8W8IM65_CRAGI, A0A8W8INQ7_CRAGI, K1QXJ5_CRAGI
OG0000010	A0A8J1U072_OWEFU	A0A8W8L0Q8_CRAGI, K1QGS5_CRAGI
OG0000010	A0A8J1TY94_OWEFU	K1R2K0_CRAGI, A0A8W8KX13_CRAGI
