#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Pdum_DN81058_c0_g1_i1:3001-3570   -            190 601875at33208        -            245   3.5e-28   95.2   1.1   1   2   3.7e-27   1.9e-25   86.3   0.4     7   107     7   120     2   126 0.81 -
Pdum_DN81058_c0_g1_i1:3001-3570   -            190 601875at33208        -            245   3.5e-28   95.2   1.1   2   2    0.0037      0.19    7.7   0.0   108   136   142   170   138   181 0.83 -
Pdum_DN92519_c2_g1_i11:9704-10090 -            129 601875at33208        -            245   7.6e-20   67.9   0.1   1   1   1.8e-21     9e-20   67.7   0.1    10   133     3   129     2   129 0.91 -
Pdum_DN89709_c2_g1_i2:4942-5163   -             74 601875at33208        -            245   2.9e-19   66.0   0.8   1   1   6.8e-21   3.4e-19   65.8   0.8    10    80     3    73     2    74 0.94 -
Pdum_DN87898_c0_g1_i1:603-1784    -            394 601875at33208        -            245   9.3e-19   64.4  21.2   1   4   8.9e-09   4.5e-07   26.1   0.1   107   163     2    59     1    72 0.89 -
Pdum_DN87898_c0_g1_i1:603-1784    -            394 601875at33208        -            245   9.3e-19   64.4  21.2   2   4       5.6   2.8e+02   -2.7   0.2   123   157   113   134    96   163 0.53 -
Pdum_DN87898_c0_g1_i1:603-1784    -            394 601875at33208        -            245   9.3e-19   64.4  21.2   3   4   1.4e-09     7e-08   28.7   2.9   140   175   218   253   203   265 0.89 -
Pdum_DN87898_c0_g1_i1:603-1784    -            394 601875at33208        -            245   9.3e-19   64.4  21.2   4   4     3e-07   1.5e-05   21.1   1.3   185   244   299   376   250   377 0.70 -
Pdum_DN86460_c0_g1_i11:1404-1775  -            124 601875at33208        -            245   5.7e-11   38.9   1.0   1   1   2.5e-12   1.3e-10   37.7   1.0    24    82     1    62     1   120 0.92 -
Pdum_DN73755_c4_g2_i2:529-714     -             62 601875at33208        -            245   1.7e-09   34.0   0.0   1   1   3.5e-11   1.8e-09   34.0   0.0    83   138     4    62     1    62 0.85 -
Pdum_DN77047_c0_g1_i3:1775-2164   -            130 601875at33208        -            245   3.7e-06   23.1   0.0   1   1   9.1e-08   4.6e-06   22.8   0.0    83   135     2    57     1    60 0.85 -
Pdum_DN66438_c0_g1_i3:876-1244    -            123 601875at33208        -            245   3.8e-06   23.1   0.0   1   1   9.3e-08   4.7e-06   22.8   0.0    81   134     5    61     2    64 0.83 -
Pdum_DN76652_c0_g1_i4:1301-1552   -             84 601875at33208        -            245   4.7e-06   22.8   2.1   1   1   2.4e-07   1.2e-05   21.4   2.1    82   135    15    81     3    84 0.76 -
Pdum_DN91715_c1_g2_i2:2317-2721   -            135 601875at33208        -            245     5e-06   22.7   0.1   1   2    0.0027      0.14    8.1   0.0   113   135     5    27     2    31 0.79 -
Pdum_DN91715_c1_g2_i2:2317-2721   -            135 601875at33208        -            245     5e-06   22.7   0.1   2   2   0.00011    0.0055   12.7   0.0   142   205    55   119    45   130 0.87 -
