Orthogroup	homeo_pdum	homeo_cgig
OG0000001	Pdum_DN87249_c0_g1_i9.p1^	A0A8W8KTU7_CRAGI, A0A8W8KWH7_CRAGI, A0A8W8KVY4_CRAGI, A0A8W8KZP0_CRAGI, A0A8W8KTZ2_CRAGI, A0A8W8KTY2_CRAGI, K1RRF9_CRAGI, A0A8W8KTT7_CRAGI, A0A8W8KWH2_CRAGI, A0A8W8KZM6_CRAGI, A0A8W8KTV3_CRAGI, A0A8W8KTZ7_CRAGI, A0A8W8KVZ3_CRAGI, A0A8W8KVY9_CRAGI, A0A8W8KWI1_CRAGI, A0A8W8KTU2_CRAGI, A0A8W8KZN5_CRAGI, A0A8W8KTY7_CRAGI, A0A8W8KZN0_CRAGI
OG0000002	Pdum_DN82374_c0_g2_i1.p1^, Pdum_DN69195_c0_g1_i2.p1^	A0A8W8JY31_CRAGI, K1RIX6_CRAGI, A0A8W8K458_CRAGI, A0A8W8JYB7_CRAGI, K1RA01_CRAGI, K1QIR0_CRAGI, A0A8W8JTR1_CRAGI, A0A8W8JT33_CRAGI, A0A8W8JX80_CRAGI, K1Q4X5_CRAGI, A0A8W8KJ06_CRAGI
OG0000003	Pdum_DN77615_c1_g1_i2.p1^	K1RJL2_CRAGI, A0A8W8JYI5_CRAGI, A0A8W8JW62_CRAGI
OG0000003	Pdum_DN83553_c0_g1_i4.p1^	A0A8W8NGD8_CRAGI, A0A8W8N7T4_CRAGI, K1QCD5_CRAGI, A0A8W8NKP9_CRAGI
OG0000004	Pdum_DN76380_c0_g1_i2.p1^	A0A8W8IAI7_CRAGI, A0A8W8IAW9_CRAGI, K1PJH4_CRAGI, K1RZS7_CRAGI, A0A8W8I5K6_CRAGI, A0A8W8I4C7_CRAGI, A0A8W8I588_CRAGI, K1QUB8_CRAGI
OG0000006	Pdum_DN79817_c0_g1_i1.p1^	K1QSB6_CRAGI, A0A8W8IBN2_CRAGI, K1PKC2_CRAGI
OG0000006	Pdum_DN88717_c4_g1_i3.p1^	K1Q1J3_CRAGI, A0A8W8L446_CRAGI
OG0000007	Pdum_DN86128_c0_g1_i2.p1^	A0A8W8MTX2_CRAGI, A0A8W8N115_CRAGI, A0A8W8N1M3_CRAGI, K1QW78_CRAGI
OG0000007	Pdum_DN87433_c1_g1_i2.p1^	K1RXD0_CRAGI
OG0000009	Pdum_DN83852_c0_g2_i4.p1^	K1S2R0_CRAGI, A0A8W8IMV1_CRAGI, A0A8W8IM65_CRAGI, A0A8W8INQ7_CRAGI, K1QXJ5_CRAGI
OG0000010	Pdum_DN83264_c1_g2_i1.p1^	A0A8W8L0Q8_CRAGI, K1QGS5_CRAGI
OG0000011	Pdum_DN70407_c0_g2_i8.p1^	K1PAC6_CRAGI, A0A8W8NHM8_CRAGI, A0A8W8NPX1_CRAGI
OG0000012	Pdum_DN83273_c0_g1_i5.p1^	A0A8W8N8Z0_CRAGI, K1PNG1_CRAGI, K1PW38_CRAGI
OG0000013	Pdum_DN87922_c0_g1_i6.p1^	A0A8W8N110_CRAGI, A0A8W8N1L7_CRAGI, K1RHX0_CRAGI, A0A8W8N1L2_CRAGI
OG0000014	Pdum_DN71779_c0_g1_i1.p1^	K1QCU1_CRAGI, A0A8W8I780_CRAGI, A0A8W8I5P7_CRAGI
OG0000016	Pdum_DN81015_c0_g1_i6.p1^	A0A8W8LHX8_CRAGI, K1RE41_CRAGI, A0A8W8LGC0_CRAGI, A0A8W8LMC2_CRAGI
OG0000017	Pdum_DN75322_c0_g2_i2.p1^	A0A8W8MTV1_CRAGI, A0A8W8MYP5_CRAGI, A0A8W8N1I9_CRAGI, K1QFQ3_CRAGI, A0A8W8N4T0_CRAGI, A0A8W8MYP1_CRAGI, A0A8W8N4S5_CRAGI, A0A8W8N4T5_CRAGI
OG0000019	Pdum_DN84079_c0_g1_i3.p1^, Pdum_DN72039_c3_g4_i2.p1^, Pdum_DN86613_c0_g1_i2.p1^	A0A8W8MBS7_CRAGI, A0A8W8ML63_CRAGI, K1RYM7_CRAGI, A0A8W8MC90_CRAGI
