Orthogroup	homeo_ofus	homeo_ctel
OG0000000	A0A8J1UID4_OWEFU	R7UG11_CAPTE, R7U9H9_CAPTE
OG0000000	A0A8J1Y3J5_OWEFU	R7TK36_CAPTE
OG0000000	A0A8J1XVB3_OWEFU	R7TJ46_CAPTE, R7VLQ3_CAPTE
OG0000000	A0A8J1UPU6_OWEFU	R7VJE5_CAPTE
OG0000000	A0A8J1TH95_OWEFU	R7UN25_CAPTE
OG0000000	A0A8J1UBP8_OWEFU, A0A8S4NIW6_OWEFU	R7VLA1_CAPTE
OG0000000	A0A8S4P4P8_OWEFU	R7T3T5_CAPTE
OG0000001	A0A8S4NYJ5_OWEFU, A0A8S4P1R3_OWEFU, A0A8S4P2P7_OWEFU, A0A8J1XTI5_OWEFU, A0A8S4P221_OWEFU, A0A8J1XV20_OWEFU, A0A8S4P2I1_OWEFU	R7T8B4_CAPTE
OG0000002	A0A8J1XR32_OWEFU	R7UAD2_CAPTE, R7U8T2_CAPTE, R7UAD6_CAPTE
OG0000003	A0A2I6QBP6_OWEFU, A0A8S4N2Y9_OWEFU, A0A8S4N1Z8_OWEFU	R7TKD0_CAPTE, A1XC54_CAPTE
OG0000003	A0A8S4NWV7_OWEFU, A0A8S4NW90_OWEFU, A0A8S4NTX5_OWEFU, A0A8S4NZG7_OWEFU, A0A8S4NVX6_OWEFU, A0A2I6QBP1_OWEFU	R7UF19_CAPTE
OG0000004	A0A8J1ULN0_OWEFU	F9W2V7_CAPTE
OG0000004	A0A8S4PHK6_OWEFU, A0A8J1UN28_OWEFU	R7TJR3_CAPTE
OG0000004	A0A8J1U7D2_OWEFU, A0A165US65_OWEFU	R7VF41_CAPTE, R7VL20_CAPTE, R7VKC4_CAPTE
OG0000006	A0A8J1U651_OWEFU	R7TSQ2_CAPTE
OG0000006	A0A8J1TZU4_OWEFU	R7UQU2_CAPTE
OG0000007	A0A8S4MXX6_OWEFU	R7TDU7_CAPTE, B6RFX9_CAPTE
OG0000007	A0A8J1Y090_OWEFU	B6RFY0_CAPTE
OG0000008	A0A8S4Q9T7_OWEFU, A0A8S4Q800_OWEFU, A0A165USE9_OWEFU, A0A8J1XWV6_OWEFU	R7VB52_CAPTE
OG0000009	A0A8J1T4P3_OWEFU, A0A8J1T4X5_OWEFU	R7V9E7_CAPTE
OG0000010	A0A8J1U072_OWEFU	R7TEF8_CAPTE
OG0000010	A0A8J1TY94_OWEFU	R7T8A8_CAPTE
OG0000011	A0A165US84_OWEFU	A6XFC4_CAPTE, I2CHN7_CAPTE, I2CHN6_CAPTE, R7UJW8_CAPTE
OG0000012	A0A8J1TNT9_OWEFU, A0A8S4N3Y9_OWEFU	R7T5K2_CAPTE, Q4JEV7_CAPTE, R7T5Y1_CAPTE
OG0000013	A0A8J1UD53_OWEFU	B6RFX8_CAPTE
OG0000013	A0A8J1UCV7_OWEFU	R7TDR8_CAPTE, B6RFY3_CAPTE
OG0000014	A0A8J1XXX6_OWEFU, A0A2I6QBN3_OWEFU, A0A8J1XW66_OWEFU, A0A8J1U7M4_OWEFU	R7ULV8_CAPTE, C4MK38_CAPTE, C4MK39_CAPTE, R7UKD7_CAPTE
