Orthogroup	homeo_mcor	homeo_ctel
OG0000000	A0A6J8D361_MYTCO	R7UG11_CAPTE, R7U9H9_CAPTE
OG0000000	A0A6J8D4Z1_MYTCO	R7VJE5_CAPTE
OG0000000	A0A6J8A6S6_MYTCO	R7UN25_CAPTE
OG0000000	A0A6J8DYR4_MYTCO	R7VLA1_CAPTE
OG0000001	A0A6J8D4G9_MYTCO, A0A6J8D326_MYTCO, A0A6J8D1S3_MYTCO, A0A6J8CZX6_MYTCO, A0A6J8D2D2_MYTCO	R7T8B4_CAPTE
OG0000002	A0A6J8C766_MYTCO, A0A6J8CB01_MYTCO, A0A6J8CAU0_MYTCO, A0A6J8C6X8_MYTCO	R7UAD2_CAPTE
OG0000002	A0A6J8CRW7_MYTCO, A0A6J8E6I5_MYTCO	R7UAD6_CAPTE
OG0000003	A0A6J8C7S3_MYTCO	R7TKD0_CAPTE, A1XC54_CAPTE
OG0000003	A0A6J8BYI7_MYTCO	R7UF19_CAPTE
OG0000004	A0A6J8CNA2_MYTCO	F9W2V7_CAPTE
OG0000004	A0A6J8D371_MYTCO	R7TJR3_CAPTE
OG0000004	A0A6J8B9F8_MYTCO	R7VF41_CAPTE, R7VL20_CAPTE, R7VKC4_CAPTE
OG0000007	A0A6J8EWP7_MYTCO	R7TDU7_CAPTE, B6RFX9_CAPTE
OG0000007	A0A6J8EWJ3_MYTCO	B6RFY0_CAPTE
OG0000008	A0A6J8DAR7_MYTCO, A0A6J8DBP9_MYTCO	R7VB52_CAPTE
OG0000009	A0A6J8CLR7_MYTCO, A0A6J8CIY4_MYTCO	R7V9E7_CAPTE
OG0000010	A0A6J8AYI9_MYTCO	R7TEF8_CAPTE
OG0000010	A0A6J8B0Y3_MYTCO, A0A6J8AXF0_MYTCO, A0A6J8AD85_MYTCO	R7T8A8_CAPTE
OG0000011	A0A6J8DUM5_MYTCO	A6XFC4_CAPTE, I2CHN7_CAPTE, I2CHN6_CAPTE, R7UJW8_CAPTE
OG0000012	A0A6J8DJ46_MYTCO, A0A6J8DK06_MYTCO	R7T5K2_CAPTE, Q4JEV7_CAPTE, R7T5Y1_CAPTE
OG0000013	A0A6J8EU52_MYTCO	B6RFX8_CAPTE
OG0000013	A0A6J8EUM6_MYTCO	R7TDR8_CAPTE, B6RFY3_CAPTE
OG0000014	A0A6J8A481_MYTCO	R7ULV8_CAPTE, C4MK38_CAPTE, C4MK39_CAPTE, R7UKD7_CAPTE
OG0000015	A0A6J8AFB3_MYTCO	R7T846_CAPTE, R7TFH5_CAPTE
OG0000016	A0A6J8AS36_MYTCO	R7UF46_CAPTE
OG0000017	A0A6J8EWU2_MYTCO	R7TLA4_CAPTE, B6RFX6_CAPTE
OG0000020	A0A6J8EQ72_MYTCO	R7TTR6_CAPTE, C4MK41_CAPTE, R7TT53_CAPTE
OG0000021	A0A6J8AHL2_MYTCO	R7TTU8_CAPTE, R7U050_CAPTE
OG0000022	A0A6J8AXB1_MYTCO, A0A6J8AT60_MYTCO, A0A6J8AWI0_MYTCO	R7TPZ8_CAPTE
